Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
CDC5L	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
CDC5L	bison_bison_bison	american_bison	artiodactyla	1	4
CDC5L	sus_scrofa	wild_boar	artiodactyla	1	4
CDC5L	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
CDC5L	camelus_dromedarius	arabian_camel	artiodactyla	1	4
CDC5L	ursus_maritimus	polar_bear	carnivora	1	10
CDC5L	felis_catus	domestic_cat	carnivora	1	10
CDC5L	panthera_pardus	leopard	carnivora	1	10
CDC5L	lynx_canadensis	canadian_lynx	carnivora	1	10
CDC5L	vulpes_vulpes	red_fox	carnivora	1	10
CDC5L	panthera_leo	lion	carnivora	1	10
CDC5L	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
CDC5L	zalophus_californianus	cali_sea_lion	carnivora	1	10
CDC5L	canis_lupus_familiaris	domestic_dog	carnivora	1	10
CDC5L	canis_lupus_dingo	dingo	carnivora	1	10
CDC5L	delphinapterus_leucas	beluga_whale	cetacea	1	1
CDC5L	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
CDC5L	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
CDC5L	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
CDC5L	sorex_araneus	european_shrew	eulipotyphyla	1	2
CDC5L	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
CDC5L	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
CDC5L	ochotona_princeps	american_pika	lagomorpha	1	2
CDC5L	equus_asinus_asinus	donkey	perissodactyla	1	2
CDC5L	equus_caballus	domestic_horse	perissodactyla	1	2
CDC5L	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
CDC5L	mandrillus_leucophaeus	drill	primates	1	10
CDC5L	cercocebus_atys	sooty_mangabey	primates	1	10
CDC5L	macaca_fascicularis	crab_eating_macaque	primates	1	10
CDC5L	nomascus_leucogenys	gibbon	primates	1	10
CDC5L	aotus_nancymaae	mas_night_monkey	primates	1	10
CDC5L	pan_troglodytes	chimpanzee	primates	1	10
CDC5L	papio_anubis	olive_baboon	primates	1	10
CDC5L	carlito_syrichta	philippine_tarsier	primates	1	10
CDC5L	gorilla_gorilla	gorilla	primates	1	10
CDC5L	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
CDC5L	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Gm9040	mus_musculus	house_mouse	rodentia	9	19
Gm9049	mus_musculus	house_mouse	rodentia	9	19
CDC5L	cavia_aperea	brazilian_guinea_pig	rodentia	1	19
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	19
Cdc5l	mus_spicilegus	steppe_mouse	rodentia	3	19
NULL	mus_spicilegus	steppe_mouse	rodentia	3	19
CDC5L	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	19
Cdc5l	mus_musculus	house_mouse	rodentia	9	19
Cdc5l	rattus_norvegicus	norway_rat	rodentia	1	19
Gm32802	mus_musculus	house_mouse	rodentia	9	19
Gm9045	mus_musculus	house_mouse	rodentia	9	19
NULL	castor_canadensis	american_beaver	rodentia	1	19
Gm9048	mus_musculus	house_mouse	rodentia	9	19
Gm32717	mus_musculus	house_mouse	rodentia	9	19
CDC5L	octodon_degus	degu	rodentia	1	19
Gm9044	mus_musculus	house_mouse	rodentia	9	19
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	19
Gm9046	mus_musculus	house_mouse	rodentia	9	19
CDC5L	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
