Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
CES3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	bison_bison_bison	american_bison	artiodactyla	2	6
CES3	camelus_dromedarius	arabian_camel	artiodactyla	1	6
CES3	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
CES3	sus_scrofa	wild_boar	artiodactyla	1	6
CES3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
CES3	panthera_leo	lion	carnivora	1	7
NULL	ursus_maritimus	polar_bear	carnivora	1	7
NULL	felis_catus	domestic_cat	carnivora	1	7
CES3	ailuropoda_melanoleuca	giant_panda	carnivora	1	7
CES3	zalophus_californianus	cali_sea_lion	carnivora	1	7
CES3	lynx_canadensis	canadian_lynx	carnivora	1	7
CES3	panthera_pardus	leopard	carnivora	1	7
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
CES3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
CES3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
CES3	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
CES3	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
CES3	ochotona_princeps	american_pika	lagomorpha	1	2
CES3	equus_asinus_asinus	donkey	perissodactyla	1	2
CES3	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	gorilla_gorilla	gorilla	primates	2	8
CES3	nomascus_leucogenys	gibbon	primates	1	8
CES3	carlito_syrichta	philippine_tarsier	primates	1	8
CES3	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	8
CES3	gorilla_gorilla	gorilla	primates	2	8
NULL	pan_troglodytes	chimpanzee	primates	2	8
CES3	pan_troglodytes	chimpanzee	primates	2	8
CES3	aotus_nancymaae	mas_night_monkey	primates	1	8
CES3	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Ces3a	mus_musculus	house_mouse	rodentia	2	8
Ces3b	mus_musculus	house_mouse	rodentia	2	8
Ces3b	mus_spicilegus	steppe_mouse	rodentia	1	8
CES3	octodon_degus	degu	rodentia	1	8
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	8
NULL	castor_canadensis	american_beaver	rodentia	1	8
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	8
CES3	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	8
