Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	14
COX7A2	sus_scrofa	wild_boar	artiodactyla	1	14
NULL	bison_bison_bison	american_bison	artiodactyla	4	14
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	14
COX7A2	camelus_dromedarius	arabian_camel	artiodactyla	1	14
NULL	canis_lupus_dingo	dingo	carnivora	4	23
NULL	vulpes_vulpes	red_fox	carnivora	4	23
NULL	canis_lupus_familiaris	domestic_dog	carnivora	3	23
COX7A2	panthera_pardus	leopard	carnivora	1	23
COX7A2	panthera_leo	lion	carnivora	1	23
NULL	zalophus_californianus	cali_sea_lion	carnivora	6	23
COX7A2	felis_catus	domestic_cat	carnivora	1	23
COX7A2	lynx_canadensis	canadian_lynx	carnivora	1	23
COX7A2	ailuropoda_melanoleuca	giant_panda	carnivora	1	23
COX7A2	ursus_maritimus	polar_bear	carnivora	1	23
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
COX7A2	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	2
COX7A2	equus_caballus	domestic_horse	perissodactyla	1	2
COX7A2	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	carlito_syrichta	philippine_tarsier	primates	4	22
COX7A2	pan_troglodytes	chimpanzee	primates	2	22
NULL	macaca_fascicularis	crab_eating_macaque	primates	3	22
NULL	mandrillus_leucophaeus	drill	primates	2	22
COX7A2	aotus_nancymaae	mas_night_monkey	primates	1	22
COX7A2	nomascus_leucogenys	gibbon	primates	1	22
NULL	cercocebus_atys	sooty_mangabey	primates	2	22
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	22
NULL	pan_troglodytes	chimpanzee	primates	2	22
NULL	papio_anubis	olive_baboon	primates	2	22
COX7A2	gorilla_gorilla	gorilla	primates	2	22
NULL	gorilla_gorilla	gorilla	primates	2	22
COX7A2	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	octodon_degus	degu	rodentia	5	14
Cox7a2	castor_canadensis	american_beaver	rodentia	1	14
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Cox7a2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	14
COX7A2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	14
NULL	mus_spicilegus	steppe_mouse	rodentia	1	14
Cox7a2l2	rattus_norvegicus	norway_rat	rodentia	1	14
Cox7a2	mus_musculus	house_mouse	rodentia	1	14
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	14
COX7A2	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
