Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
IL2RB	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NULL	sus_scrofa	wild_boar	artiodactyla	1	5
IL2RB	camelus_dromedarius	arabian_camel	artiodactyla	1	5
IL2RB	bison_bison_bison	american_bison	artiodactyla	1	5
IL2RB	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
IL2RB	lynx_canadensis	canadian_lynx	carnivora	1	10
IL2RB	panthera_pardus	leopard	carnivora	1	10
IL2RB	canis_lupus_dingo	dingo	carnivora	1	10
IL2RB	vulpes_vulpes	red_fox	carnivora	1	10
IL2RB	zalophus_californianus	cali_sea_lion	carnivora	1	10
IL2RB	canis_lupus_familiaris	domestic_dog	carnivora	1	10
IL2RB	ursus_maritimus	polar_bear	carnivora	1	10
IL2RB	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
IL2RB	panthera_leo	lion	carnivora	1	10
IL2RB	felis_catus	domestic_cat	carnivora	1	10
IL2RB	delphinapterus_leucas	beluga_whale	cetacea	1	1
IL2RB	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
IL2RB	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
IL2RB	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
IL2RB	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
IL2RB	ochotona_princeps	american_pika	lagomorpha	1	1
IL2RB	equus_asinus_asinus	donkey	perissodactyla	1	2
IL2RB	equus_caballus	domestic_horse	perissodactyla	1	2
IL2RB	cercocebus_atys	sooty_mangabey	primates	1	10
IL2RB	carlito_syrichta	philippine_tarsier	primates	1	10
IL2RB	nomascus_leucogenys	gibbon	primates	1	10
IL2RB	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
IL2RB	papio_anubis	olive_baboon	primates	1	10
IL2RB	gorilla_gorilla	gorilla	primates	1	10
IL2RB	pan_troglodytes	chimpanzee	primates	1	10
IL2RB	mandrillus_leucophaeus	drill	primates	1	10
IL2RB	macaca_fascicularis	crab_eating_macaque	primates	1	10
IL2RB	aotus_nancymaae	mas_night_monkey	primates	1	10
IL2RB	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Il2rb	rattus_norvegicus	norway_rat	rodentia	1	9
Il2rb	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Il2rb	mus_spicilegus	steppe_mouse	rodentia	1	9
Il2rb	mus_musculus	house_mouse	rodentia	1	9
IL2RB	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
IL2RB	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
IL2RB	octodon_degus	degu	rodentia	1	9
Il2rb	castor_canadensis	american_beaver	rodentia	1	9
Il2rb	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
