Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
CST9L	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	camelus_dromedarius	arabian_camel	artiodactyla	3	8
NULL	bison_bison_bison	american_bison	artiodactyla	1	8
NULL	sus_scrofa	wild_boar	artiodactyla	1	8
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	8
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	8
NULL	canis_lupus_dingo	dingo	carnivora	1	14
NULL	vulpes_vulpes	red_fox	carnivora	1	14
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	14
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	14
NULL	ursus_maritimus	polar_bear	carnivora	3	14
CST9L	lynx_canadensis	canadian_lynx	carnivora	1	14
NULL	felis_catus	domestic_cat	carnivora	1	14
CST9L	panthera_leo	lion	carnivora	1	14
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	14
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	3
CST9L	equus_caballus	domestic_horse	perissodactyla	1	2
CST9L	equus_asinus_asinus	donkey	perissodactyla	1	2
CST9L	pan_troglodytes	chimpanzee	primates	1	6
CST9L	gorilla_gorilla	gorilla	primates	1	6
CST9L	papio_anubis	olive_baboon	primates	1	6
CST9L	macaca_fascicularis	crab_eating_macaque	primates	1	6
CST9L	mandrillus_leucophaeus	drill	primates	1	6
CST9L	cercocebus_atys	sooty_mangabey	primates	1	6
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Cst9l	rattus_norvegicus	norway_rat	rodentia	2	10
Cst9	mus_musculus	house_mouse	rodentia	2	10
Cstdc2	mus_spicilegus	steppe_mouse	rodentia	2	10
LOC689081	rattus_norvegicus	norway_rat	rodentia	2	10
Cst9	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
NULL	castor_canadensis	american_beaver	rodentia	1	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Cstdc2	mus_musculus	house_mouse	rodentia	2	10
Cst9	mus_spicilegus	steppe_mouse	rodentia	2	10
