Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
DCUN1D1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
DCUN1D1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
DCUN1D1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
DCUN1D1	bison_bison_bison	american_bison	artiodactyla	1	4
DCUN1D1	camelus_dromedarius	arabian_camel	artiodactyla	1	4
DCUN1D1	vulpes_vulpes	red_fox	carnivora	1	10
DCUN1D1	felis_catus	domestic_cat	carnivora	1	10
DCUN1D1	panthera_pardus	leopard	carnivora	1	10
DCUN1D1	ursus_maritimus	polar_bear	carnivora	1	10
DCUN1D1	zalophus_californianus	cali_sea_lion	carnivora	1	10
DCUN1D1	panthera_leo	lion	carnivora	1	10
DCUN1D1	lynx_canadensis	canadian_lynx	carnivora	1	10
DCUN1D1	canis_lupus_familiaris	domestic_dog	carnivora	1	10
DCUN1D1	canis_lupus_dingo	dingo	carnivora	1	10
DCUN1D1	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
DCUN1D1	delphinapterus_leucas	beluga_whale	cetacea	1	1
DCUN1D1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
DCUN1D1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
DCUN1D1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
DCUN1D1	sorex_araneus	european_shrew	eulipotyphyla	1	2
DCUN1D1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
DCUN1D1	ochotona_princeps	american_pika	lagomorpha	1	2
DCUN1D1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
DCUN1D1	equus_asinus_asinus	donkey	perissodactyla	1	2
DCUN1D1	equus_caballus	domestic_horse	perissodactyla	1	2
DCUN1D1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
DCUN1D1	carlito_syrichta	philippine_tarsier	primates	2	21
NULL	carlito_syrichta	philippine_tarsier	primates	2	21
NULL	papio_anubis	olive_baboon	primates	3	21
DCUN1D1	papio_anubis	olive_baboon	primates	3	21
DCUN1D1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	21
DCUN1D1	gorilla_gorilla	gorilla	primates	1	21
NULL	mandrillus_leucophaeus	drill	primates	3	21
DCUN1D1	macaca_fascicularis	crab_eating_macaque	primates	2	21
DCUN1D1	cercocebus_atys	sooty_mangabey	primates	2	21
NULL	pan_troglodytes	chimpanzee	primates	2	21
NULL	aotus_nancymaae	mas_night_monkey	primates	4	21
DCUN1D1	pan_troglodytes	chimpanzee	primates	2	21
DCUN1D1	nomascus_leucogenys	gibbon	primates	1	21
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	21
DCUN1D1	mandrillus_leucophaeus	drill	primates	3	21
NULL	cercocebus_atys	sooty_mangabey	primates	2	21
DCUN1D1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	mus_spicilegus	steppe_mouse	rodentia	1	14
NULL	octodon_degus	degu	rodentia	5	14
NULL	castor_canadensis	american_beaver	rodentia	1	14
Dcun1d1	rattus_norvegicus	norway_rat	rodentia	1	14
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	14
Tes3-ps	mus_musculus	house_mouse	rodentia	2	14
Dcun1d1	mus_musculus	house_mouse	rodentia	2	14
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	14
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	14
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	14
