Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
FBXO28	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
FBXO28	bison_bison_bison	american_bison	artiodactyla	1	5
FBXO28	camelus_dromedarius	arabian_camel	artiodactyla	1	5
FBXO28	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
FBXO28	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
FBXO28	sus_scrofa	wild_boar	artiodactyla	1	5
FBXO28	panthera_leo	lion	carnivora	1	10
NULL	ursus_maritimus	polar_bear	carnivora	1	10
FBXO28	canis_lupus_familiaris	domestic_dog	carnivora	1	10
FBXO28	felis_catus	domestic_cat	carnivora	1	10
FBXO28	lynx_canadensis	canadian_lynx	carnivora	1	10
FBXO28	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
FBXO28	vulpes_vulpes	red_fox	carnivora	1	10
FBXO28	canis_lupus_dingo	dingo	carnivora	1	10
FBXO28	panthera_pardus	leopard	carnivora	1	10
FBXO28	zalophus_californianus	cali_sea_lion	carnivora	1	10
FBXO28	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
FBXO28	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
FBXO28	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
FBXO28	sorex_araneus	european_shrew	eulipotyphyla	1	2
FBXO28	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
FBXO28	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
FBXO28	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
FBXO28	ochotona_princeps	american_pika	lagomorpha	1	2
FBXO28	equus_asinus_asinus	donkey	perissodactyla	1	2
FBXO28	equus_caballus	domestic_horse	perissodactyla	1	2
FBXO28	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
FBXO28	cercocebus_atys	sooty_mangabey	primates	1	10
FBXO28	aotus_nancymaae	mas_night_monkey	primates	1	10
FBXO28	gorilla_gorilla	gorilla	primates	2	10
FBXO28	carlito_syrichta	philippine_tarsier	primates	1	10
FBXO28	macaca_fascicularis	crab_eating_macaque	primates	1	10
FBXO28	nomascus_leucogenys	gibbon	primates	1	10
FBXO28	mandrillus_leucophaeus	drill	primates	1	10
FBXO28	pan_troglodytes	chimpanzee	primates	1	10
FBXO28	papio_anubis	olive_baboon	primates	1	10
FBXO28	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Fbxo28	castor_canadensis	american_beaver	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
Fbxo28	rattus_norvegicus	norway_rat	rodentia	1	10
FBXO28	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Fbxo28	mus_musculus	house_mouse	rodentia	1	10
FBXO28	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Fbxo28	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
Fbxo28	mus_spicilegus	steppe_mouse	rodentia	1	10
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
