Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
EIF3J	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
EIF3J	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
EIF3J	bison_bison_bison	american_bison	artiodactyla	1	5
EIF3J	camelus_dromedarius	arabian_camel	artiodactyla	1	5
EIF3J	sus_scrofa	wild_boar	artiodactyla	1	5
EIF3J	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
EIF3J	panthera_leo	lion	carnivora	1	11
EIF3J	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
EIF3J	canis_lupus_dingo	dingo	carnivora	1	11
EIF3J	felis_catus	domestic_cat	carnivora	1	11
NULL	ursus_maritimus	polar_bear	carnivora	1	11
EIF3J	vulpes_vulpes	red_fox	carnivora	2	11
EIF3J	lynx_canadensis	canadian_lynx	carnivora	1	11
EIF3J	zalophus_californianus	cali_sea_lion	carnivora	1	11
EIF3J	panthera_pardus	leopard	carnivora	1	11
NULL	vulpes_vulpes	red_fox	carnivora	2	11
EIF3J	canis_lupus_familiaris	domestic_dog	carnivora	1	11
EIF3J	delphinapterus_leucas	beluga_whale	cetacea	1	1
EIF3J	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
EIF3J	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
EIF3J	sorex_araneus	european_shrew	eulipotyphyla	1	2
EIF3J	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
EIF3J	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
EIF3J	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
EIF3J	equus_caballus	domestic_horse	perissodactyla	2	4
EIF3J	equus_asinus_asinus	donkey	perissodactyla	2	4
NULL	equus_caballus	domestic_horse	perissodactyla	2	4
NULL	equus_asinus_asinus	donkey	perissodactyla	2	4
EIF3J	mandrillus_leucophaeus	drill	primates	1	13
EIF3J	pan_troglodytes	chimpanzee	primates	1	13
EIF3J	macaca_fascicularis	crab_eating_macaque	primates	1	13
EIF3J	papio_anubis	olive_baboon	primates	1	13
EIF3J	aotus_nancymaae	mas_night_monkey	primates	2	13
EIF3J	gorilla_gorilla	gorilla	primates	1	13
EIF3J	nomascus_leucogenys	gibbon	primates	3	13
EIF3J	cercocebus_atys	sooty_mangabey	primates	1	13
NULL	aotus_nancymaae	mas_night_monkey	primates	2	13
NULL	nomascus_leucogenys	gibbon	primates	3	13
EIF3J	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	13
EIF3J	carlito_syrichta	philippine_tarsier	primates	1	13
EIF3J	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	14
NULL	octodon_degus	degu	rodentia	5	14
Eif3j	rattus_norvegicus	norway_rat	rodentia	1	14
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	14
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	14
Eif3j1	mus_musculus	house_mouse	rodentia	2	14
EIF3J	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	14
NULL	castor_canadensis	american_beaver	rodentia	1	14
NULL	mus_spicilegus	steppe_mouse	rodentia	1	14
Eif3j2	mus_musculus	house_mouse	rodentia	2	14
EIF3J	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
