Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
EIF4E	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
EIF4E	bison_bison_bison	american_bison	artiodactyla	2	10
EIF4E	sus_scrofa	wild_boar	artiodactyla	1	10
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
NULL	camelus_dromedarius	arabian_camel	artiodactyla	3	10
NULL	bison_bison_bison	american_bison	artiodactyla	2	10
EIF4E	ailuropoda_melanoleuca	giant_panda	carnivora	1	23
NULL	panthera_pardus	leopard	carnivora	3	23
NULL	lynx_canadensis	canadian_lynx	carnivora	3	23
NULL	panthera_leo	lion	carnivora	3	23
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	23
NULL	vulpes_vulpes	red_fox	carnivora	2	23
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	23
NULL	canis_lupus_dingo	dingo	carnivora	2	23
EIF4E	felis_catus	domestic_cat	carnivora	3	23
EIF4E	ursus_maritimus	polar_bear	carnivora	1	23
NULL	felis_catus	domestic_cat	carnivora	3	23
EIF4E	canis_lupus_familiaris	domestic_dog	carnivora	2	23
NULL	delphinapterus_leucas	beluga_whale	cetacea	3	3
EIF4E	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
EIF4E	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
EIF4E	sorex_araneus	european_shrew	eulipotyphyla	1	1
EIF4E	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
EIF4E	ochotona_princeps	american_pika	lagomorpha	1	3
EIF4E	equus_asinus_asinus	donkey	perissodactyla	1	2
EIF4E	equus_caballus	domestic_horse	perissodactyla	1	2
EIF4E	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
EIF4E	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	24
NULL	gorilla_gorilla	gorilla	primates	4	24
NULL	nomascus_leucogenys	gibbon	primates	3	24
EIF4E	cercocebus_atys	sooty_mangabey	primates	1	24
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	24
NULL	mandrillus_leucophaeus	drill	primates	3	24
NULL	aotus_nancymaae	mas_night_monkey	primates	4	24
EIF4E	pan_troglodytes	chimpanzee	primates	3	24
NULL	pan_troglodytes	chimpanzee	primates	3	24
NULL	papio_anubis	olive_baboon	primates	2	24
EIF4E	carlito_syrichta	philippine_tarsier	primates	1	24
EIF4E	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Eif4e	castor_canadensis	american_beaver	rodentia	1	16
NULL	octodon_degus	degu	rodentia	4	16
Eif4e	rattus_norvegicus	norway_rat	rodentia	1	16
Eif4e	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	16
Eif4e	mus_musculus	house_mouse	rodentia	1	16
NULL	mus_spicilegus	steppe_mouse	rodentia	1	16
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	16
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	16
EIF4E	cavia_aperea	brazilian_guinea_pig	rodentia	1	16
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	16
EIF4E	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
