Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
FAIM	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
FAIM	sus_scrofa	wild_boar	artiodactyla	1	5
FAIM	camelus_dromedarius	arabian_camel	artiodactyla	1	5
FAIM	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
FAIM	bison_bison_bison	american_bison	artiodactyla	1	5
FAIM	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
FAIM	canis_lupus_dingo	dingo	carnivora	1	10
FAIM	felis_catus	domestic_cat	carnivora	1	10
FAIM	vulpes_vulpes	red_fox	carnivora	1	10
FAIM	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
FAIM	lynx_canadensis	canadian_lynx	carnivora	1	10
FAIM	zalophus_californianus	cali_sea_lion	carnivora	1	10
FAIM	canis_lupus_familiaris	domestic_dog	carnivora	1	10
FAIM	ursus_maritimus	polar_bear	carnivora	1	10
FAIM	panthera_pardus	leopard	carnivora	1	10
FAIM	panthera_leo	lion	carnivora	1	10
FAIM	delphinapterus_leucas	beluga_whale	cetacea	1	1
FAIM	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
FAIM	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
FAIM	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
FAIM	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
FAIM	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
FAIM	equus_asinus_asinus	donkey	perissodactyla	1	2
FAIM	equus_caballus	domestic_horse	perissodactyla	1	2
FAIM	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
FAIM	macaca_fascicularis	crab_eating_macaque	primates	1	10
FAIM	carlito_syrichta	philippine_tarsier	primates	1	10
FAIM	aotus_nancymaae	mas_night_monkey	primates	1	10
FAIM	papio_anubis	olive_baboon	primates	1	10
FAIM	pan_troglodytes	chimpanzee	primates	1	10
FAIM	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
FAIM	nomascus_leucogenys	gibbon	primates	1	10
FAIM	gorilla_gorilla	gorilla	primates	1	10
FAIM	mandrillus_leucophaeus	drill	primates	1	10
FAIM	cercocebus_atys	sooty_mangabey	primates	1	10
FAIM	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	15
NULL	castor_canadensis	american_beaver	rodentia	1	15
Faim	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
NULL	mus_spicilegus	steppe_mouse	rodentia	3	15
FAIM	octodon_degus	degu	rodentia	1	15
LOC684466	rattus_norvegicus	norway_rat	rodentia	3	15
Faim	rattus_norvegicus	norway_rat	rodentia	3	15
FAIM	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	15
Faiml	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
Faiml	mus_musculus	house_mouse	rodentia	2	15
FAIM	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
Faim	mus_musculus	house_mouse	rodentia	2	15
FAIM	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
