Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
GLYAT	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
GLYATL3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
GLYATL2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	18
GLYAT	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	18
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
GLYATL3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	18
GLYATL3	sus_scrofa	wild_boar	artiodactyla	4	18
GLYAT	camelus_dromedarius	arabian_camel	artiodactyla	2	18
GLYATL2	sus_scrofa	wild_boar	artiodactyla	4	18
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	18
NULL	bison_bison_bison	american_bison	artiodactyla	4	18
NULL	sus_scrofa	wild_boar	artiodactyla	4	18
GLYAT	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
GLYATL3	camelus_dromedarius	arabian_camel	artiodactyla	2	18
GLYATL3	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
GLYATL3	bison_bison_bison	american_bison	artiodactyla	4	18
GLYATL3	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
GLYATL3	panthera_leo	lion	carnivora	4	29
GLYATL3	felis_catus	domestic_cat	carnivora	3	29
GLYATL3	vulpes_vulpes	red_fox	carnivora	3	29
GLYATL3	canis_lupus_familiaris	domestic_dog	carnivora	2	29
NULL	panthera_pardus	leopard	carnivora	4	29
GLYATL3	lynx_canadensis	canadian_lynx	carnivora	3	29
NULL	lynx_canadensis	canadian_lynx	carnivora	3	29
GLYATL2	felis_catus	domestic_cat	carnivora	3	29
NULL	canis_lupus_dingo	dingo	carnivora	3	29
GLYATL3	panthera_pardus	leopard	carnivora	4	29
GLYAT	canis_lupus_familiaris	domestic_dog	carnivora	2	29
GLYAT	felis_catus	domestic_cat	carnivora	3	29
GLYATL3	canis_lupus_dingo	dingo	carnivora	3	29
NULL	panthera_leo	lion	carnivora	4	29
GLYATL2	panthera_leo	lion	carnivora	4	29
GLYATL3	ursus_maritimus	polar_bear	carnivora	3	29
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
GLYAT	zalophus_californianus	cali_sea_lion	carnivora	1	29
GLYAT	panthera_leo	lion	carnivora	4	29
GLYAT	ursus_maritimus	polar_bear	carnivora	3	29
GLYAT	canis_lupus_dingo	dingo	carnivora	3	29
NULL	ursus_maritimus	polar_bear	carnivora	3	29
GLYAT	ailuropoda_melanoleuca	giant_panda	carnivora	3	29
GLYAT	vulpes_vulpes	red_fox	carnivora	3	29
NULL	vulpes_vulpes	red_fox	carnivora	3	29
GLYATL2	panthera_pardus	leopard	carnivora	4	29
GLYAT	lynx_canadensis	canadian_lynx	carnivora	3	29
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
GLYATL3	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
GLYAT	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
GLYATL3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
GLYAT	sorex_araneus	european_shrew	eulipotyphyla	2	6
GLYATL3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	4	6
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	4	6
GLYATL2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	4	6
GLYATL3	sorex_araneus	european_shrew	eulipotyphyla	2	6
GLYATL3	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
GLYAT	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	ochotona_princeps	american_pika	lagomorpha	3	6
GLYATL3	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	equus_asinus_asinus	donkey	perissodactyla	4	6
GLYATL3	equus_asinus_asinus	donkey	perissodactyla	4	6
GLYATL3	equus_caballus	domestic_horse	perissodactyla	2	6
GLYAT	equus_asinus_asinus	donkey	perissodactyla	4	6
NULL	equus_caballus	domestic_horse	perissodactyla	2	6
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
GLYATL3	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
GLYATL3	nomascus_leucogenys	gibbon	primates	5	45
GLYATL1	nomascus_leucogenys	gibbon	primates	5	45
GLYATL3	macaca_fascicularis	crab_eating_macaque	primates	5	45
NULL	cercocebus_atys	sooty_mangabey	primates	4	45
GLYATL1B	pan_troglodytes	chimpanzee	primates	5	45
GLYATL2	gorilla_gorilla	gorilla	primates	4	45
GLYAT	nomascus_leucogenys	gibbon	primates	5	45
GLYATL1	mandrillus_leucophaeus	drill	primates	6	45
NULL	mandrillus_leucophaeus	drill	primates	6	45
NULL	macaca_fascicularis	crab_eating_macaque	primates	5	45
GLYATL1	macaca_fascicularis	crab_eating_macaque	primates	5	45
GLYATL3	cercocebus_atys	sooty_mangabey	primates	4	45
GLYATL2	aotus_nancymaae	mas_night_monkey	primates	4	45
GLYATL3	mandrillus_leucophaeus	drill	primates	6	45
GLYAT	mandrillus_leucophaeus	drill	primates	6	45
GLYATL3	gorilla_gorilla	gorilla	primates	4	45
GLYAT	gorilla_gorilla	gorilla	primates	4	45
GLYATL2	pan_troglodytes	chimpanzee	primates	5	45
GLYATL3	aotus_nancymaae	mas_night_monkey	primates	4	45
NULL	nomascus_leucogenys	gibbon	primates	5	45
NULL	aotus_nancymaae	mas_night_monkey	primates	4	45
GLYATL1	pan_troglodytes	chimpanzee	primates	5	45
GLYATL3	carlito_syrichta	philippine_tarsier	primates	4	45
NULL	carlito_syrichta	philippine_tarsier	primates	4	45
