Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
GPI	bison_bison_bison	american_bison	artiodactyla	1	5
GPI	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
GPI	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
GPI	sus_scrofa	wild_boar	artiodactyla	1	5
GPI	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	13
NULL	canis_lupus_dingo	dingo	carnivora	2	13
GPI	panthera_leo	lion	carnivora	1	13
GPI	ailuropoda_melanoleuca	giant_panda	carnivora	1	13
GPI	felis_catus	domestic_cat	carnivora	1	13
GPI	ursus_maritimus	polar_bear	carnivora	1	13
GPI	lynx_canadensis	canadian_lynx	carnivora	1	13
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	13
GPI	canis_lupus_familiaris	domestic_dog	carnivora	2	13
GPI	vulpes_vulpes	red_fox	carnivora	2	13
GPI	panthera_pardus	leopard	carnivora	1	13
NULL	vulpes_vulpes	red_fox	carnivora	2	13
GPI	delphinapterus_leucas	beluga_whale	cetacea	1	1
GPI	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
GPI	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
GPI	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
GPI	equus_caballus	domestic_horse	perissodactyla	1	2
GPI	equus_asinus_asinus	donkey	perissodactyla	1	2
GPI	papio_anubis	olive_baboon	primates	1	11
GPI	cercocebus_atys	sooty_mangabey	primates	1	11
GPI	aotus_nancymaae	mas_night_monkey	primates	1	11
GPI	pan_troglodytes	chimpanzee	primates	1	11
GPI	mandrillus_leucophaeus	drill	primates	1	11
GPI	gorilla_gorilla	gorilla	primates	1	11
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	11
GPI	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
GPI	carlito_syrichta	philippine_tarsier	primates	1	11
NULL	nomascus_leucogenys	gibbon	primates	1	11
GPI	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Gpi	rattus_norvegicus	norway_rat	rodentia	1	9
Gpi1	mus_musculus	house_mouse	rodentia	1	9
Gpi1	mus_spicilegus	steppe_mouse	rodentia	1	9
GPI	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Gpi1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Gpi1	castor_canadensis	american_beaver	rodentia	1	9
GPI	octodon_degus	degu	rodentia	1	9
GPI	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Gpi1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
GPI	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
