Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
GPR31	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
OXER1	camelus_dromedarius	arabian_camel	artiodactyla	5	21
HCAR1	camelus_dromedarius	arabian_camel	artiodactyla	5	21
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	21
GPR31	camelus_dromedarius	arabian_camel	artiodactyla	5	21
GPR82	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	21
NULL	bison_bison_bison	american_bison	artiodactyla	4	21
NULL	camelus_dromedarius	arabian_camel	artiodactyla	5	21
HCAR1	bison_bison_bison	american_bison	artiodactyla	4	21
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	21
NULL	sus_scrofa	wild_boar	artiodactyla	3	21
HCAR1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	21
GPR82	sus_scrofa	wild_boar	artiodactyla	3	21
HCAR1	sus_scrofa	wild_boar	artiodactyla	3	21
GPR82	camelus_dromedarius	arabian_camel	artiodactyla	5	21
GPR31	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	21
GPR82	bison_bison_bison	american_bison	artiodactyla	4	21
GPR82	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	21
GPR31	bison_bison_bison	american_bison	artiodactyla	4	21
GPR31	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	21
HCAR1	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	21
OXER1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	21
GPR82	panthera_leo	lion	carnivora	5	44
GPR31	canis_lupus_familiaris	domestic_dog	carnivora	5	44
GPR82	canis_lupus_familiaris	domestic_dog	carnivora	5	44
GPR82	lynx_canadensis	canadian_lynx	carnivora	3	44
OXER1	ailuropoda_melanoleuca	giant_panda	carnivora	4	44
GPR82	ailuropoda_melanoleuca	giant_panda	carnivora	4	44
HCAR1	vulpes_vulpes	red_fox	carnivora	4	44
GPR82	ursus_maritimus	polar_bear	carnivora	5	44
OXER1	lynx_canadensis	canadian_lynx	carnivora	3	44
GPR31	panthera_leo	lion	carnivora	5	44
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	4	44
GPR82	canis_lupus_dingo	dingo	carnivora	5	44
HCAR1	felis_catus	domestic_cat	carnivora	5	44
HCAR1	canis_lupus_familiaris	domestic_dog	carnivora	5	44
OXER1	felis_catus	domestic_cat	carnivora	5	44
HCAR2	felis_catus	domestic_cat	carnivora	5	44
GPR82	felis_catus	domestic_cat	carnivora	5	44
OXER1	ursus_maritimus	polar_bear	carnivora	5	44
GPR31	zalophus_californianus	cali_sea_lion	carnivora	5	44
GPR31	panthera_pardus	leopard	carnivora	3	44
GPR82	zalophus_californianus	cali_sea_lion	carnivora	5	44
GPR31	felis_catus	domestic_cat	carnivora	5	44
GPR31	ursus_maritimus	polar_bear	carnivora	5	44
GPR31	vulpes_vulpes	red_fox	carnivora	4	44
NULL	panthera_pardus	leopard	carnivora	3	44
HCAR1	canis_lupus_dingo	dingo	carnivora	5	44
GPR82	vulpes_vulpes	red_fox	carnivora	4	44
OXER1	canis_lupus_dingo	dingo	carnivora	5	44
HCAR1	zalophus_californianus	cali_sea_lion	carnivora	5	44
OXER1	zalophus_californianus	cali_sea_lion	carnivora	5	44
GPR31	canis_lupus_dingo	dingo	carnivora	5	44
HCAR1	ursus_maritimus	polar_bear	carnivora	5	44
GPR82	panthera_pardus	leopard	carnivora	3	44
