Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	bison_bison_bison	american_bison	artiodactyla	1	3
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	3
GSTP1-1	camelus_dromedarius	arabian_camel	artiodactyla	1	3
NULL	panthera_leo	lion	carnivora	1	26
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	26
NULL	vulpes_vulpes	red_fox	carnivora	4	26
NULL	canis_lupus_familiaris	domestic_dog	carnivora	7	26
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	26
NULL	panthera_pardus	leopard	carnivora	1	26
NULL	canis_lupus_dingo	dingo	carnivora	5	26
NULL	lynx_canadensis	canadian_lynx	carnivora	1	26
NULL	ursus_maritimus	polar_bear	carnivora	1	26
NULL	felis_catus	domestic_cat	carnivora	1	26
GSTP1	canis_lupus_familiaris	domestic_dog	carnivora	7	26
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
NULL	equus_asinus_asinus	donkey	perissodactyla	1	1
NULL	nomascus_leucogenys	gibbon	primates	1	4
NULL	carlito_syrichta	philippine_tarsier	primates	2	4
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	4
