Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
HBQ1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
HBQ1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
HBQ1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
HBQ1	sus_scrofa	wild_boar	artiodactyla	1	4
HBQ1	camelus_dromedarius	arabian_camel	artiodactyla	1	4
HBQ1	canis_lupus_dingo	dingo	carnivora	1	5
HBQ1	lynx_canadensis	canadian_lynx	carnivora	1	5
HBQ1	zalophus_californianus	cali_sea_lion	carnivora	1	5
HBQ1	panthera_pardus	leopard	carnivora	1	5
HBQ1	felis_catus	domestic_cat	carnivora	1	5
HBQ1	delphinapterus_leucas	beluga_whale	cetacea	1	1
HBQ1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
HBQ1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
HBA	equus_caballus	domestic_horse	perissodactyla	1	2
HBQ1	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
HBQ1	gorilla_gorilla	gorilla	primates	1	8
HBQ1	nomascus_leucogenys	gibbon	primates	1	8
HBQ1	macaca_fascicularis	crab_eating_macaque	primates	1	8
HBQ1	aotus_nancymaae	mas_night_monkey	primates	1	8
HBQ1	papio_anubis	olive_baboon	primates	1	8
HBQ1	cercocebus_atys	sooty_mangabey	primates	1	8
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	8
HBQ1	pan_troglodytes	chimpanzee	primates	1	8
HBQ1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Hbq1b	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Hbq1a	mus_spicilegus	steppe_mouse	rodentia	2	10
HBQ1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Hbq1a	mus_musculus	house_mouse	rodentia	2	10
NULL	mus_spicilegus	steppe_mouse	rodentia	2	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
HBQ1	octodon_degus	degu	rodentia	1	10
Hbq1b	rattus_norvegicus	norway_rat	rodentia	1	10
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Hbq1b	mus_musculus	house_mouse	rodentia	2	10
