Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
IL10	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
IL26	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
IL26	sus_scrofa	wild_boar	artiodactyla	5	25
IL24	camelus_dromedarius	arabian_camel	artiodactyla	5	25
IL26	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
IL10	sus_scrofa	wild_boar	artiodactyla	5	25
IL24	sus_scrofa	wild_boar	artiodactyla	5	25
IL19	bison_bison_bison	american_bison	artiodactyla	5	25
IL20	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
IL10	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
IL10	bison_bison_bison	american_bison	artiodactyla	5	25
IL19	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
IL26	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
IL19	camelus_dromedarius	arabian_camel	artiodactyla	5	25
IL26	bison_bison_bison	american_bison	artiodactyla	5	25
IL20	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
IL20	camelus_dromedarius	arabian_camel	artiodactyla	5	25
IL24	bison_bison_bison	american_bison	artiodactyla	5	25
IL24	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
IL26	camelus_dromedarius	arabian_camel	artiodactyla	5	25
IL20	sus_scrofa	wild_boar	artiodactyla	5	25
IL20	bison_bison_bison	american_bison	artiodactyla	5	25
IL19	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	25
IL10	camelus_dromedarius	arabian_camel	artiodactyla	5	25
IL19	sus_scrofa	wild_boar	artiodactyla	5	25
IL24	moschus_moschiferus	siberian_musk_deer	artiodactyla	5	25
IL10	zalophus_californianus	cali_sea_lion	carnivora	5	49
IL19	panthera_pardus	leopard	carnivora	5	49
IL20	zalophus_californianus	cali_sea_lion	carnivora	5	49
IL20	vulpes_vulpes	red_fox	carnivora	5	49
IL24	ailuropoda_melanoleuca	giant_panda	carnivora	5	49
IL26	felis_catus	domestic_cat	carnivora	4	49
IL10	canis_lupus_dingo	dingo	carnivora	5	49
IL19	canis_lupus_familiaris	domestic_dog	carnivora	5	49
IL26	vulpes_vulpes	red_fox	carnivora	5	49
IL26	panthera_leo	lion	carnivora	5	49
IL24	ursus_maritimus	polar_bear	carnivora	5	49
IL10	ailuropoda_melanoleuca	giant_panda	carnivora	5	49
IL20	canis_lupus_dingo	dingo	carnivora	5	49
IL20	ailuropoda_melanoleuca	giant_panda	carnivora	5	49
IL19	panthera_leo	lion	carnivora	5	49
IL10	vulpes_vulpes	red_fox	carnivora	5	49
IL26	ursus_maritimus	polar_bear	carnivora	5	49
IL10	lynx_canadensis	canadian_lynx	carnivora	5	49
IL24	panthera_leo	lion	carnivora	5	49
IL26	lynx_canadensis	canadian_lynx	carnivora	5	49
IL26	ailuropoda_melanoleuca	giant_panda	carnivora	5	49
IL19	lynx_canadensis	canadian_lynx	carnivora	5	49
IL24	zalophus_californianus	cali_sea_lion	carnivora	5	49
IL10	felis_catus	domestic_cat	carnivora	4	49
IL24	canis_lupus_familiaris	domestic_dog	carnivora	5	49
IL26	canis_lupus_dingo	dingo	carnivora	5	49
IL20	canis_lupus_familiaris	domestic_dog	carnivora	5	49
IL24	vulpes_vulpes	red_fox	carnivora	5	49
IL24	lynx_canadensis	canadian_lynx	carnivora	5	49
IL19	canis_lupus_dingo	dingo	carnivora	5	49
IL10	panthera_pardus	leopard	carnivora	5	49
IL20	felis_catus	domestic_cat	carnivora	4	49
IL24	panthera_pardus	leopard	carnivora	5	49
IL20	ursus_maritimus	polar_bear	carnivora	5	49
IL26	panthera_pardus	leopard	carnivora	5	49
