Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MGAT4A	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
MGAT4A	sus_scrofa	wild_boar	artiodactyla	1	5
MGAT4A	bison_bison_bison	american_bison	artiodactyla	1	5
MGAT4A	camelus_dromedarius	arabian_camel	artiodactyla	1	5
MGAT4A	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
MGAT4A	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
MGAT4A	panthera_pardus	leopard	carnivora	1	10
MGAT4A	lynx_canadensis	canadian_lynx	carnivora	1	10
MGAT4A	vulpes_vulpes	red_fox	carnivora	1	10
MGAT4A	canis_lupus_dingo	dingo	carnivora	1	10
MGAT4A	zalophus_californianus	cali_sea_lion	carnivora	1	10
MGAT4A	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
MGAT4A	ursus_maritimus	polar_bear	carnivora	1	10
MGAT4A	canis_lupus_familiaris	domestic_dog	carnivora	1	10
MGAT4A	panthera_leo	lion	carnivora	1	10
MGAT4A	felis_catus	domestic_cat	carnivora	1	10
MGAT4A	delphinapterus_leucas	beluga_whale	cetacea	1	1
MGAT4A	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MGAT4A	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MGAT4A	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MGAT4A	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MGAT4A	ochotona_princeps	american_pika	lagomorpha	1	2
MGAT4A	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
MGAT4A	equus_caballus	domestic_horse	perissodactyla	1	2
MGAT4A	equus_asinus_asinus	donkey	perissodactyla	1	2
MGAT4A	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MGAT4A	macaca_fascicularis	crab_eating_macaque	primates	1	10
MGAT4A	gorilla_gorilla	gorilla	primates	1	10
MGAT4A	mandrillus_leucophaeus	drill	primates	1	10
MGAT4A	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
MGAT4A	carlito_syrichta	philippine_tarsier	primates	1	10
MGAT4A	pan_troglodytes	chimpanzee	primates	1	10
MGAT4A	papio_anubis	olive_baboon	primates	1	10
MGAT4A	nomascus_leucogenys	gibbon	primates	1	10
MGAT4A	aotus_nancymaae	mas_night_monkey	primates	1	10
MGAT4A	cercocebus_atys	sooty_mangabey	primates	1	10
MGAT4A	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Mgat4a	mus_musculus	house_mouse	rodentia	1	9
Mgat4a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
Mgat4a	mus_spicilegus	steppe_mouse	rodentia	1	9
MGAT4A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
NULL	octodon_degus	degu	rodentia	1	9
Mgat4a	rattus_norvegicus	norway_rat	rodentia	1	9
Mgat4a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
Mgat4a	castor_canadensis	american_beaver	rodentia	1	9
MGAT4A	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
MGAT4A	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
