Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MMGT1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	bison_bison_bison	american_bison	artiodactyla	2	6
MMGT1	sus_scrofa	wild_boar	artiodactyla	1	6
MMGT1	camelus_dromedarius	arabian_camel	artiodactyla	1	6
MMGT1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
MMGT1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
MMGT1	panthera_pardus	leopard	carnivora	1	7
MMGT1	felis_catus	domestic_cat	carnivora	1	7
MMGT1	ursus_maritimus	polar_bear	carnivora	1	7
MMGT1	lynx_canadensis	canadian_lynx	carnivora	1	7
MMGT1	zalophus_californianus	cali_sea_lion	carnivora	1	7
NULL	panthera_leo	lion	carnivora	1	7
MMGT1	canis_lupus_dingo	dingo	carnivora	1	7
MMGT1	delphinapterus_leucas	beluga_whale	cetacea	1	1
MMGT1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MMGT1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MMGT1	sorex_araneus	european_shrew	eulipotyphyla	1	2
MMGT1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	2
NULL	equus_caballus	domestic_horse	perissodactyla	2	4
NULL	equus_asinus_asinus	donkey	perissodactyla	2	4
MMGT1	equus_caballus	domestic_horse	perissodactyla	2	4
MMGT1	papio_anubis	olive_baboon	primates	1	11
MMGT1	gorilla_gorilla	gorilla	primates	1	11
MMGT1	mandrillus_leucophaeus	drill	primates	1	11
MMGT1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
MMGT1	macaca_fascicularis	crab_eating_macaque	primates	1	11
MMGT1	carlito_syrichta	philippine_tarsier	primates	1	11
NULL	aotus_nancymaae	mas_night_monkey	primates	2	11
MMGT1	pan_troglodytes	chimpanzee	primates	1	11
MMGT1	cercocebus_atys	sooty_mangabey	primates	1	11
MMGT1	nomascus_leucogenys	gibbon	primates	1	11
MMGT1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	octodon_degus	degu	rodentia	3	15
Mmgt1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
Mmgt2	mus_musculus	house_mouse	rodentia	2	15
Mmgt2	mus_spicilegus	steppe_mouse	rodentia	2	15
Mmgt1	mus_spicilegus	steppe_mouse	rodentia	2	15
Mmgt2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	15
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	15
MMGT1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	15
Mmgt1	mus_musculus	house_mouse	rodentia	2	15
Mmgt1	castor_canadensis	american_beaver	rodentia	1	15
MMGT1	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
Mmgt1	rattus_norvegicus	norway_rat	rodentia	1	15
MMGT1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
