Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
MX1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	7
NULL	camelus_dromedarius	arabian_camel	artiodactyla	3	7
MX1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	7
MX1	sus_scrofa	wild_boar	artiodactyla	1	7
MX1	bison_bison_bison	american_bison	artiodactyla	1	7
MX1	vulpes_vulpes	red_fox	carnivora	2	10
NULL	vulpes_vulpes	red_fox	carnivora	2	10
MX1	lynx_canadensis	canadian_lynx	carnivora	1	10
MX1	zalophus_californianus	cali_sea_lion	carnivora	1	10
MX1	panthera_leo	lion	carnivora	1	10
MX1	canis_lupus_dingo	dingo	carnivora	1	10
MX1	panthera_pardus	leopard	carnivora	1	10
MX1	felis_catus	domestic_cat	carnivora	1	10
MX1	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
MX1	ursus_maritimus	polar_bear	carnivora	1	10
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
MX1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MX1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MX1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
NULL	ochotona_princeps	american_pika	lagomorpha	1	3
MX1	equus_asinus_asinus	donkey	perissodactyla	1	2
MX1	equus_caballus	domestic_horse	perissodactyla	1	2
MX1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MX1	papio_anubis	olive_baboon	primates	1	8
MX1	macaca_fascicularis	crab_eating_macaque	primates	1	8
MX1	cercocebus_atys	sooty_mangabey	primates	1	8
MX1	mandrillus_leucophaeus	drill	primates	1	8
MX1	gorilla_gorilla	gorilla	primates	1	8
MX1	carlito_syrichta	philippine_tarsier	primates	1	8
MX1	nomascus_leucogenys	gibbon	primates	1	8
MX1	aotus_nancymaae	mas_night_monkey	primates	1	8
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	castor_canadensis	american_beaver	rodentia	3	22
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	22
NULL	octodon_degus	degu	rodentia	2	22
Mx2	mus_spicilegus	steppe_mouse	rodentia	2	22
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	22
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	22
Mx2	mus_musculus	house_mouse	rodentia	2	22
Mx2	rattus_norvegicus	norway_rat	rodentia	2	22
Mx1	rattus_norvegicus	norway_rat	rodentia	2	22
NULL	mus_spicilegus	steppe_mouse	rodentia	2	22
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	22
Mx1	mus_musculus	house_mouse	rodentia	2	22
MX1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
