Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	6
MYCN	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
MYCN	sus_scrofa	wild_boar	artiodactyla	1	6
NULL	bison_bison_bison	american_bison	artiodactyla	1	6
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
MYCN	vulpes_vulpes	red_fox	carnivora	1	10
MYCN	zalophus_californianus	cali_sea_lion	carnivora	1	10
MYCN	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
MYCN	panthera_leo	lion	carnivora	1	10
NULL	lynx_canadensis	canadian_lynx	carnivora	1	10
MYCN	panthera_pardus	leopard	carnivora	1	10
MYCN	felis_catus	domestic_cat	carnivora	1	10
MYCN	canis_lupus_dingo	dingo	carnivora	1	10
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	10
NULL	ursus_maritimus	polar_bear	carnivora	1	10
MYCN	delphinapterus_leucas	beluga_whale	cetacea	1	1
MYCN	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
MYCN	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
MYCN	ochotona_princeps	american_pika	lagomorpha	1	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
MYCN	equus_caballus	domestic_horse	perissodactyla	1	2
MYCN	gorilla_gorilla	gorilla	primates	1	10
MYCN	cercocebus_atys	sooty_mangabey	primates	1	10
MYCN	aotus_nancymaae	mas_night_monkey	primates	1	10
MYCN	papio_anubis	olive_baboon	primates	1	10
MYCN	macaca_fascicularis	crab_eating_macaque	primates	1	10
NULL	nomascus_leucogenys	gibbon	primates	1	10
MYCN	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NULL	mandrillus_leucophaeus	drill	primates	1	10
MYCN	pan_troglodytes	chimpanzee	primates	1	10
NULL	carlito_syrichta	philippine_tarsier	primates	1	10
MYCN	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
MYCN	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	14
Mycn	rattus_norvegicus	norway_rat	rodentia	2	14
NULL	castor_canadensis	american_beaver	rodentia	2	14
Mycs	mus_musculus	house_mouse	rodentia	2	14
Mycn	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	14
Mycn	mus_spicilegus	steppe_mouse	rodentia	3	14
NULL	mus_spicilegus	steppe_mouse	rodentia	3	14
MYCN	octodon_degus	degu	rodentia	1	14
Mycs	mus_spicilegus	steppe_mouse	rodentia	3	14
Mycs	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Mycn	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Mycn	castor_canadensis	american_beaver	rodentia	2	14
Mycn	mus_musculus	house_mouse	rodentia	2	14
Mycs	rattus_norvegicus	norway_rat	rodentia	2	14
