Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NIM1K	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NIM1K	bison_bison_bison	american_bison	artiodactyla	1	5
NIM1K	sus_scrofa	wild_boar	artiodactyla	1	5
NIM1K	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NIM1K	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
NIM1K	felis_catus	domestic_cat	carnivora	1	10
NIM1K	canis_lupus_familiaris	domestic_dog	carnivora	1	10
NIM1K	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
NIM1K	lynx_canadensis	canadian_lynx	carnivora	1	10
NIM1K	panthera_leo	lion	carnivora	1	10
NIM1K	zalophus_californianus	cali_sea_lion	carnivora	1	10
NIM1K	ursus_maritimus	polar_bear	carnivora	1	10
NIM1K	vulpes_vulpes	red_fox	carnivora	1	10
NIM1K	canis_lupus_dingo	dingo	carnivora	1	10
NIM1K	panthera_pardus	leopard	carnivora	1	10
NIM1K	delphinapterus_leucas	beluga_whale	cetacea	1	1
NIM1K	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NIM1K	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NIM1K	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NIM1K	sorex_araneus	european_shrew	eulipotyphyla	1	2
NIM1K	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NIM1K	ochotona_princeps	american_pika	lagomorpha	1	2
NIM1K	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NIM1K	equus_caballus	domestic_horse	perissodactyla	1	2
NIM1K	equus_asinus_asinus	donkey	perissodactyla	1	2
NIM1K	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NIM1K	mandrillus_leucophaeus	drill	primates	1	10
NIM1K	carlito_syrichta	philippine_tarsier	primates	1	10
NIM1K	papio_anubis	olive_baboon	primates	1	10
NIM1K	aotus_nancymaae	mas_night_monkey	primates	1	10
NIM1K	macaca_fascicularis	crab_eating_macaque	primates	1	10
NIM1K	pan_troglodytes	chimpanzee	primates	1	10
NIM1K	nomascus_leucogenys	gibbon	primates	1	10
NIM1K	cercocebus_atys	sooty_mangabey	primates	1	10
NIM1K	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NIM1K	gorilla_gorilla	gorilla	primates	1	10
NIM1K	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Nim1k	castor_canadensis	american_beaver	rodentia	1	9
Nim1k	rattus_norvegicus	norway_rat	rodentia	1	9
Nim1k	mus_musculus	house_mouse	rodentia	1	9
Nim1k	mus_spicilegus	steppe_mouse	rodentia	1	9
Nim1k	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
NIM1K	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
NIM1K	octodon_degus	degu	rodentia	1	9
NIM1K	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
Nim1k	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
NIM1K	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
