Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NUDT16	camelus_dromedarius	arabian_camel	artiodactyla	2	10
NUDT16L1	sus_scrofa	wild_boar	artiodactyla	2	10
NUDT16L1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
NUDT16	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	10
NUDT16	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
NUDT16L1	camelus_dromedarius	arabian_camel	artiodactyla	2	10
NUDT16L1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	10
NULL	bison_bison_bison	american_bison	artiodactyla	2	10
NUDT16	sus_scrofa	wild_boar	artiodactyla	2	10
NUDT16L1	ailuropoda_melanoleuca	giant_panda	carnivora	2	14
NUDT16L1	lynx_canadensis	canadian_lynx	carnivora	2	14
NUDT16L1	canis_lupus_familiaris	domestic_dog	carnivora	2	14
NUDT16L1	panthera_pardus	leopard	carnivora	2	14
NUDT16	panthera_leo	lion	carnivora	2	14
NUDT16L1	panthera_leo	lion	carnivora	2	14
NUDT16	canis_lupus_familiaris	domestic_dog	carnivora	2	14
NUDT16L1	vulpes_vulpes	red_fox	carnivora	1	14
NUDT16	lynx_canadensis	canadian_lynx	carnivora	2	14
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	14
NUDT16	felis_catus	domestic_cat	carnivora	1	14
NUDT16	panthera_pardus	leopard	carnivora	2	14
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	14
NUDT16L1	canis_lupus_dingo	dingo	carnivora	1	14
NUDT16L1	delphinapterus_leucas	beluga_whale	cetacea	2	2
NUDT16	delphinapterus_leucas	beluga_whale	cetacea	2	2
NUDT16L1	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NUDT16L1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NUDT16L1	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NUDT16L1	ochotona_princeps	american_pika	lagomorpha	3	4
NULL	ochotona_princeps	american_pika	lagomorpha	3	4
NUDT16	oryctolagus_cuniculus	rabbit	lagomorpha	1	4
NULL	equus_caballus	domestic_horse	perissodactyla	2	4
NUDT16	equus_asinus_asinus	donkey	perissodactyla	2	4
NUDT16L1	equus_asinus_asinus	donkey	perissodactyla	2	4
NUDT16	equus_caballus	domestic_horse	perissodactyla	2	4
NULL	mandrillus_leucophaeus	drill	primates	3	24
NUDT16	pan_troglodytes	chimpanzee	primates	3	24
NUDT16L1	cercocebus_atys	sooty_mangabey	primates	3	24
NUDT16L1	aotus_nancymaae	mas_night_monkey	primates	2	24
NULL	gorilla_gorilla	gorilla	primates	3	24
NUDT16	aotus_nancymaae	mas_night_monkey	primates	2	24
NUDT16L1	carlito_syrichta	philippine_tarsier	primates	1	24
NULL	cercocebus_atys	sooty_mangabey	primates	3	24
NUDT16L1	pan_troglodytes	chimpanzee	primates	3	24
NUDT16L1	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	24
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	24
NUDT16	macaca_fascicularis	crab_eating_macaque	primates	2	24
NUDT16	papio_anubis	olive_baboon	primates	3	24
NUDT16L1	macaca_fascicularis	crab_eating_macaque	primates	2	24
NULL	papio_anubis	olive_baboon	primates	3	24
NUDT16L1	papio_anubis	olive_baboon	primates	3	24
NUDT16	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	24
NUDT16	nomascus_leucogenys	gibbon	primates	1	24
NULL	pan_troglodytes	chimpanzee	primates	3	24
NUDT16	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Nudt16	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	24
Nudt16l1	castor_canadensis	american_beaver	rodentia	2	24
Nudt16l1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	24
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	24
Nudt16	mus_spicilegus	steppe_mouse	rodentia	3	24
Nudt16l2	castor_canadensis	american_beaver	rodentia	2	24
NULL	octodon_degus	degu	rodentia	3	24
LOC688828	rattus_norvegicus	norway_rat	rodentia	3	24
Nudt16l1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	24
NUDT16L1	octodon_degus	degu	rodentia	3	24
Nudt16l2	mus_spicilegus	steppe_mouse	rodentia	3	24
Nudt16l1	mus_spicilegus	steppe_mouse	rodentia	3	24
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	24
Nudt16l2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	24
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	24
Nudt16	mus_musculus	house_mouse	rodentia	3	24
Nudt16l1	mus_musculus	house_mouse	rodentia	3	24
Nudt16l1	rattus_norvegicus	norway_rat	rodentia	3	24
Nudt16	rattus_norvegicus	norway_rat	rodentia	3	24
NUDT16L1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	24
Nudt16l2	mus_musculus	house_mouse	rodentia	3	24
NUDT16	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
