Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NUP35	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	6
NUP35	camelus_dromedarius	arabian_camel	artiodactyla	1	6
NUP35	sus_scrofa	wild_boar	artiodactyla	1	6
NUP35	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
NUP35	canis_lupus_dingo	dingo	carnivora	1	10
NUP35	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
NUP35	lynx_canadensis	canadian_lynx	carnivora	1	10
NUP35	panthera_leo	lion	carnivora	1	10
NUP35	zalophus_californianus	cali_sea_lion	carnivora	1	10
NUP35	canis_lupus_familiaris	domestic_dog	carnivora	1	10
NUP35	panthera_pardus	leopard	carnivora	1	10
NUP35	ursus_maritimus	polar_bear	carnivora	1	10
NUP35	felis_catus	domestic_cat	carnivora	1	10
NUP35	vulpes_vulpes	red_fox	carnivora	1	10
NUP35	delphinapterus_leucas	beluga_whale	cetacea	1	1
NUP35	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
NUP35	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NUP35	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NUP35	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NUP35	ochotona_princeps	american_pika	lagomorpha	1	2
NUP35	equus_caballus	domestic_horse	perissodactyla	1	2
NUP35	equus_asinus_asinus	donkey	perissodactyla	1	2
NUP35	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NUP35	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
NUP35	mandrillus_leucophaeus	drill	primates	1	11
NUP35	carlito_syrichta	philippine_tarsier	primates	1	11
NUP35	aotus_nancymaae	mas_night_monkey	primates	2	11
NUP35	macaca_fascicularis	crab_eating_macaque	primates	1	11
NUP35	cercocebus_atys	sooty_mangabey	primates	1	11
NUP35	gorilla_gorilla	gorilla	primates	1	11
NUP35	pan_troglodytes	chimpanzee	primates	1	11
NULL	aotus_nancymaae	mas_night_monkey	primates	2	11
NUP35	papio_anubis	olive_baboon	primates	1	11
NUP35	nomascus_leucogenys	gibbon	primates	1	11
NUP35	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Nup35	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Nup35	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
NUP35	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
NUP35	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Nup35	rattus_norvegicus	norway_rat	rodentia	1	10
Nup35	mus_musculus	house_mouse	rodentia	1	10
Nup35	mus_spicilegus	steppe_mouse	rodentia	1	10
Nup35	castor_canadensis	american_beaver	rodentia	1	10
NUP35	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
