Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
OR10G6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
OR10G3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
NULL	sus_scrofa	wild_boar	artiodactyla	13	78
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	20	78
OR10S1	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR10G3	bison_bison_bison	american_bison	artiodactyla	19	78
NULL	camelus_dromedarius	arabian_camel	artiodactyla	12	78
NULL	bison_bison_bison	american_bison	artiodactyla	19	78
OR10G3	camelus_dromedarius	arabian_camel	artiodactyla	12	78
OR10G6	camelus_dromedarius	arabian_camel	artiodactyla	12	78
OR10G3	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR10D3	camelus_dromedarius	arabian_camel	artiodactyla	12	78
OR10S1	camelus_dromedarius	arabian_camel	artiodactyla	12	78
OR10D3	bison_bison_bison	american_bison	artiodactyla	19	78
OR10G3	sus_scrofa	wild_boar	artiodactyla	13	78
OR10G3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	20	78
OR10G6	sus_scrofa	wild_boar	artiodactyla	13	78
OR10G6	bison_bison_bison	american_bison	artiodactyla	19	78
OR10G6	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR10G6	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	20	78
OR10S1	bison_bison_bison	american_bison	artiodactyla	19	78
OR10D3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	20	78
OR10D3	sus_scrofa	wild_boar	artiodactyla	13	78
OR10S1	sus_scrofa	wild_boar	artiodactyla	13	78
OR10S1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	20	78
OR10G2	camelus_dromedarius	arabian_camel	artiodactyla	12	78
OR10D3	ursus_maritimus	polar_bear	carnivora	15	103
OR10D3	panthera_leo	lion	carnivora	12	103
OR10D3	ailuropoda_melanoleuca	giant_panda	carnivora	13	103
NULL	canis_lupus_dingo	dingo	carnivora	10	103
NULL	lynx_canadensis	canadian_lynx	carnivora	11	103
NULL	ursus_maritimus	polar_bear	carnivora	15	103
NULL	panthera_pardus	leopard	carnivora	9	103
OR10G9C	canis_lupus_familiaris	domestic_dog	carnivora	12	103
OR10S1	ursus_maritimus	polar_bear	carnivora	15	103
OR10S1	ailuropoda_melanoleuca	giant_panda	carnivora	13	103
NULL	panthera_leo	lion	carnivora	12	103
OR10S1	lynx_canadensis	canadian_lynx	carnivora	11	103
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	13	103
NULL	felis_catus	domestic_cat	carnivora	9	103
OR10G2	felis_catus	domestic_cat	carnivora	9	103
OR10G3	panthera_pardus	leopard	carnivora	9	103
OR10S1	canis_lupus_familiaris	domestic_dog	carnivora	12	103
OR10G6	lynx_canadensis	canadian_lynx	carnivora	11	103
OR10G6	canis_lupus_familiaris	domestic_dog	carnivora	12	103
OR10G6	panthera_leo	lion	carnivora	12	103
OR10G6	felis_catus	domestic_cat	carnivora	9	103
NULL	zalophus_californianus	cali_sea_lion	carnivora	6	103
NULL	canis_lupus_familiaris	domestic_dog	carnivora	12	103
OR10G9	canis_lupus_familiaris	domestic_dog	carnivora	12	103
OR10G6	ursus_maritimus	polar_bear	carnivora	15	103
OR10G6	canis_lupus_dingo	dingo	carnivora	10	103
OR10G3	panthera_leo	lion	carnivora	12	103
NULL	vulpes_vulpes	red_fox	carnivora	6	103
OR10G3	ursus_maritimus	polar_bear	carnivora	15	103
OR10G6	vulpes_vulpes	red_fox	carnivora	6	103
