Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
OR6C3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
OR2AP1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
OR6C4	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
OR6C65	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
OR6C76	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	12	12
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	78
OR6C76	bison_bison_bison	american_bison	artiodactyla	15	78
NULL	sus_scrofa	wild_boar	artiodactyla	23	78
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
NULL	bison_bison_bison	american_bison	artiodactyla	15	78
OR6C4	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR2AP1	bison_bison_bison	american_bison	artiodactyla	15	78
OR6C4	bison_bison_bison	american_bison	artiodactyla	15	78
NULL	camelus_dromedarius	arabian_camel	artiodactyla	11	78
OR6C3	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR6C65	camelus_dromedarius	arabian_camel	artiodactyla	11	78
OR6C1	camelus_dromedarius	arabian_camel	artiodactyla	11	78
OR6C4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	78
OR6C1	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR2AP1	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR6C74	moschus_moschiferus	siberian_musk_deer	artiodactyla	14	78
OR6C75	bison_bison_bison	american_bison	artiodactyla	15	78
OR6C76	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	78
OR6C76	camelus_dromedarius	arabian_camel	artiodactyla	11	78
OR6C3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	15	78
NULL	panthera_pardus	leopard	carnivora	19	140
OR6C4	ailuropoda_melanoleuca	giant_panda	carnivora	8	140
NULL	zalophus_californianus	cali_sea_lion	carnivora	10	140
OR2AP1	lynx_canadensis	canadian_lynx	carnivora	17	140
