Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
OR4L1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	sus_scrofa	wild_boar	artiodactyla	2	12
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	12
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	12
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	12
NULL	bison_bison_bison	american_bison	artiodactyla	2	12
NULL	ursus_maritimus	polar_bear	carnivora	2	9
NULL	canis_lupus_dingo	dingo	carnivora	1	9
NULL	vulpes_vulpes	red_fox	carnivora	1	9
OR4L1	lynx_canadensis	canadian_lynx	carnivora	1	9
OR4L1	panthera_leo	lion	carnivora	1	9
OR4L1	canis_lupus_familiaris	domestic_dog	carnivora	1	9
OR4L1	zalophus_californianus	cali_sea_lion	carnivora	1	9
OR4L1	felis_catus	domestic_cat	carnivora	1	9
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
OR4L1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
OR4L1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
OR4L1	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
OR4L1	equus_asinus_asinus	donkey	perissodactyla	1	2
OR4L1	equus_caballus	domestic_horse	perissodactyla	1	2
OR4L1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	carlito_syrichta	philippine_tarsier	primates	1	2
OR4L1	gorilla_gorilla	gorilla	primates	1	2
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	6
Olfr723	mus_musculus	house_mouse	rodentia	2	6
Olfr724	mus_musculus	house_mouse	rodentia	2	6
NULL	mus_spicilegus	steppe_mouse	rodentia	1	6
NULL	castor_canadensis	american_beaver	rodentia	1	6
Olr1625	rattus_norvegicus	norway_rat	rodentia	1	6
