Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	bison_bison_bison	american_bison	artiodactyla	5	27
NULL	camelus_dromedarius	arabian_camel	artiodactyla	5	27
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	10	27
OR5M11	moschus_moschiferus	siberian_musk_deer	artiodactyla	10	27
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	27
NULL	sus_scrofa	wild_boar	artiodactyla	3	27
OR5M11	camelus_dromedarius	arabian_camel	artiodactyla	5	27
NULL	felis_catus	domestic_cat	carnivora	7	42
OR5M11	ailuropoda_melanoleuca	giant_panda	carnivora	4	42
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	4	42
NULL	lynx_canadensis	canadian_lynx	carnivora	6	42
NULL	ursus_maritimus	polar_bear	carnivora	3	42
NULL	canis_lupus_dingo	dingo	carnivora	6	42
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	42
NULL	panthera_leo	lion	carnivora	5	42
OR5M11	panthera_leo	lion	carnivora	5	42
OR5M11	lynx_canadensis	canadian_lynx	carnivora	6	42
NULL	panthera_pardus	leopard	carnivora	6	42
OR5M11	zalophus_californianus	cali_sea_lion	carnivora	3	42
OR5M11	canis_lupus_dingo	dingo	carnivora	6	42
OR5M11	panthera_pardus	leopard	carnivora	6	42
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	42
NULL	vulpes_vulpes	red_fox	carnivora	1	42
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	11	11
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	6
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	5	6
OR5M11	oryctolagus_cuniculus	rabbit	lagomorpha	5	6
OR5M11	equus_asinus_asinus	donkey	perissodactyla	1	8
NULL	equus_caballus	domestic_horse	perissodactyla	7	8
OR5M11	equus_caballus	domestic_horse	perissodactyla	7	8
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	6	6
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	5	15
OR5M11	nomascus_leucogenys	gibbon	primates	1	15
OR5M11	gorilla_gorilla	gorilla	primates	4	15
OR5M11	pan_troglodytes	chimpanzee	primates	3	15
NULL	aotus_nancymaae	mas_night_monkey	primates	1	15
OR5M1	gorilla_gorilla	gorilla	primates	4	15
OR5M10	gorilla_gorilla	gorilla	primates	4	15
OR5M10	pan_troglodytes	chimpanzee	primates	3	15
NULL	carlito_syrichta	philippine_tarsier	primates	1	15
OR5M1	pan_troglodytes	chimpanzee	primates	3	15
NULL	gorilla_gorilla	gorilla	primates	4	15
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	9	9
NULL	castor_canadensis	american_beaver	rodentia	7	45
Olfr1028	mus_spicilegus	steppe_mouse	rodentia	8	45
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	45
Olfr1029	mus_spicilegus	steppe_mouse	rodentia	8	45
Olr466	rattus_norvegicus	norway_rat	rodentia	6	45
Olfr1024	mus_musculus	house_mouse	rodentia	7	45
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	45
Olfr1025-ps1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	45
Olfr1029	mus_musculus	house_mouse	rodentia	7	45
Olfr1025-ps1	mus_musculus	house_mouse	rodentia	7	45
Olfr1026	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	45
Olfr1022	mus_musculus	house_mouse	rodentia	7	45
Olr469	rattus_norvegicus	norway_rat	rodentia	6	45
Olfr1026	mus_spicilegus	steppe_mouse	rodentia	8	45
NULL	mus_spicilegus	steppe_mouse	rodentia	8	45
NULL	octodon_degus	degu	rodentia	2	45
Olfr1023	mus_musculus	house_mouse	rodentia	7	45
Olfr1025-ps1	mus_spicilegus	steppe_mouse	rodentia	8	45
Olfr1024	mus_spicilegus	steppe_mouse	rodentia	8	45
Olr468	rattus_norvegicus	norway_rat	rodentia	6	45
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	4	45
Olfr1026	mus_musculus	house_mouse	rodentia	7	45
Olfr1024	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	3	45
Olfr1028	mus_musculus	house_mouse	rodentia	7	45
Olfr1024	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	6	45
Olr465	rattus_norvegicus	norway_rat	rodentia	6	45
LOC684683	rattus_norvegicus	norway_rat	rodentia	6	45
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	45
Olr470	rattus_norvegicus	norway_rat	rodentia	6	45
Olfr1022	mus_spicilegus	steppe_mouse	rodentia	8	45
Olfr1023	mus_spicilegus	steppe_mouse	rodentia	8	45
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
