Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
PAM16	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
PAM16	camelus_dromedarius	arabian_camel	artiodactyla	1	5
PAM16	bison_bison_bison	american_bison	artiodactyla	1	5
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
PAM16	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
PAM16	sus_scrofa	wild_boar	artiodactyla	1	5
PAM16	felis_catus	domestic_cat	carnivora	1	11
PAM16	lynx_canadensis	canadian_lynx	carnivora	1	11
NULL	panthera_pardus	leopard	carnivora	2	11
PAM16	vulpes_vulpes	red_fox	carnivora	2	11
PAM16	ursus_maritimus	polar_bear	carnivora	1	11
NULL	vulpes_vulpes	red_fox	carnivora	2	11
PAM16	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
PAM16	zalophus_californianus	cali_sea_lion	carnivora	1	11
PAM16	panthera_leo	lion	carnivora	1	11
PAM16	canis_lupus_dingo	dingo	carnivora	1	11
PAM16	delphinapterus_leucas	beluga_whale	cetacea	1	1
PAM16	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
PAM16	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
PAM16	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
PAM16	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
PAM16	equus_asinus_asinus	donkey	perissodactyla	1	1
PAM16	aotus_nancymaae	mas_night_monkey	primates	1	5
PAM16	gorilla_gorilla	gorilla	primates	1	5
PAM16	nomascus_leucogenys	gibbon	primates	1	5
PAM16	carlito_syrichta	philippine_tarsier	primates	1	5
PAM16	mandrillus_leucophaeus	drill	primates	1	5
PAM16	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	10
Gm9803	mus_musculus	house_mouse	rodentia	2	10
PAM16	octodon_degus	degu	rodentia	1	10
NULL	castor_canadensis	american_beaver	rodentia	1	10
PAM16	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Pam16	rattus_norvegicus	norway_rat	rodentia	1	10
PAM16	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
Pam16	mus_musculus	house_mouse	rodentia	2	10
PAM16	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
