Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
RAB1A	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
RAB1A	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
RAB1A	bison_bison_bison	american_bison	artiodactyla	1	5
RAB1A	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
RAB1A	sus_scrofa	wild_boar	artiodactyla	1	5
RAB1A	camelus_dromedarius	arabian_camel	artiodactyla	1	5
RAB1A	felis_catus	domestic_cat	carnivora	1	10
RAB1A	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
RAB1A	ursus_maritimus	polar_bear	carnivora	1	10
RAB1A	lynx_canadensis	canadian_lynx	carnivora	1	10
RAB1A	vulpes_vulpes	red_fox	carnivora	1	10
RAB1A	panthera_leo	lion	carnivora	1	10
RAB1A	panthera_pardus	leopard	carnivora	1	10
RAB1A	canis_lupus_dingo	dingo	carnivora	1	10
RAB1A	canis_lupus_familiaris	domestic_dog	carnivora	1	10
RAB1A	zalophus_californianus	cali_sea_lion	carnivora	1	10
RAB1A	delphinapterus_leucas	beluga_whale	cetacea	1	1
RAB1A	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
RAB1A	sorex_araneus	european_shrew	eulipotyphyla	1	2
RAB1A	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
RAB1A	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
RAB1A	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
RAB1A	ochotona_princeps	american_pika	lagomorpha	1	2
RAB1A	equus_asinus_asinus	donkey	perissodactyla	1	1
RAB1A	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	papio_anubis	olive_baboon	primates	3	23
NULL	aotus_nancymaae	mas_night_monkey	primates	2	23
RAB1A	nomascus_leucogenys	gibbon	primates	2	23
NULL	carlito_syrichta	philippine_tarsier	primates	2	23
RAB1A	gorilla_gorilla	gorilla	primates	2	23
NULL	mandrillus_leucophaeus	drill	primates	4	23
NULL	pan_troglodytes	chimpanzee	primates	2	23
NULL	cercocebus_atys	sooty_mangabey	primates	2	23
NULL	macaca_fascicularis	crab_eating_macaque	primates	3	23
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	23
RAB1A	pan_troglodytes	chimpanzee	primates	2	23
RAB1A	cercocebus_atys	sooty_mangabey	primates	2	23
NULL	gorilla_gorilla	gorilla	primates	2	23
NULL	nomascus_leucogenys	gibbon	primates	2	23
RAB1A	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Rab1a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Rab1a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
Rab1a	mus_spicilegus	steppe_mouse	rodentia	1	10
Rab1a	castor_canadensis	american_beaver	rodentia	1	10
RAB1A	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
RAB1A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Rab1a	mus_musculus	house_mouse	rodentia	1	10
Rab1a	rattus_norvegicus	norway_rat	rodentia	1	10
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
