Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
RHAG	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
RHCG	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
RHAG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
RHBG	sus_scrofa	wild_boar	artiodactyla	4	20
RHCE	sus_scrofa	wild_boar	artiodactyla	4	20
RHCG	camelus_dromedarius	arabian_camel	artiodactyla	4	20
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
RHBG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
RHAG	camelus_dromedarius	arabian_camel	artiodactyla	4	20
NULL	bison_bison_bison	american_bison	artiodactyla	4	20
RHBG	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
RHBG	camelus_dromedarius	arabian_camel	artiodactyla	4	20
NULL	camelus_dromedarius	arabian_camel	artiodactyla	4	20
RHCG	bison_bison_bison	american_bison	artiodactyla	4	20
RHAG	sus_scrofa	wild_boar	artiodactyla	4	20
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
RHAG	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
RHCG	sus_scrofa	wild_boar	artiodactyla	4	20
RHCG	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	20
RHCG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	4	20
RHBG	bison_bison_bison	american_bison	artiodactyla	4	20
RHAG	bison_bison_bison	american_bison	artiodactyla	4	20
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	5	41
RHCG	panthera_pardus	leopard	carnivora	4	41
RHAG	canis_lupus_dingo	dingo	carnivora	4	41
RHAG	panthera_pardus	leopard	carnivora	4	41
RHAG	vulpes_vulpes	red_fox	carnivora	4	41
NULL	zalophus_californianus	cali_sea_lion	carnivora	4	41
RHAG	canis_lupus_familiaris	domestic_dog	carnivora	4	41
NULL	panthera_leo	lion	carnivora	4	41
RHCG	ailuropoda_melanoleuca	giant_panda	carnivora	5	41
RHBG	canis_lupus_dingo	dingo	carnivora	4	41
RHBG	panthera_leo	lion	carnivora	4	41
RHCG	lynx_canadensis	canadian_lynx	carnivora	4	41
RHAG	felis_catus	domestic_cat	carnivora	4	41
RHCG	panthera_leo	lion	carnivora	4	41
RHCG	zalophus_californianus	cali_sea_lion	carnivora	4	41
NULL	felis_catus	domestic_cat	carnivora	4	41
RHBG	felis_catus	domestic_cat	carnivora	4	41
RHCG	vulpes_vulpes	red_fox	carnivora	4	41
RHCG	canis_lupus_familiaris	domestic_dog	carnivora	4	41
