Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
RNF19A	camelus_dromedarius	arabian_camel	artiodactyla	1	5
RNF19A	sus_scrofa	wild_boar	artiodactyla	1	5
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
RNF19A	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
RNF19A	bison_bison_bison	american_bison	artiodactyla	1	5
RNF19A	vulpes_vulpes	red_fox	carnivora	1	11
RNF19A	felis_catus	domestic_cat	carnivora	1	11
NULL	panthera_leo	lion	carnivora	2	11
RNF19A	canis_lupus_familiaris	domestic_dog	carnivora	1	11
RNF19A	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
RNF19A	panthera_pardus	leopard	carnivora	1	11
RNF19A	lynx_canadensis	canadian_lynx	carnivora	1	11
RNF19A	ursus_maritimus	polar_bear	carnivora	1	11
RNF19A	canis_lupus_dingo	dingo	carnivora	1	11
RNF19A	zalophus_californianus	cali_sea_lion	carnivora	1	11
RNF19A	delphinapterus_leucas	beluga_whale	cetacea	1	1
RNF19A	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
RNF19A	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
RNF19A	sorex_araneus	european_shrew	eulipotyphyla	1	2
RNF19A	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
RNF19A	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
RNF19A	ochotona_princeps	american_pika	lagomorpha	1	2
RNF19A	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
RNF19A	equus_caballus	domestic_horse	perissodactyla	1	2
RNF19A	equus_asinus_asinus	donkey	perissodactyla	1	2
RNF19A	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
RNF19A	pan_troglodytes	chimpanzee	primates	1	12
RNF19A	aotus_nancymaae	mas_night_monkey	primates	1	12
RNF19A	papio_anubis	olive_baboon	primates	1	12
NULL	carlito_syrichta	philippine_tarsier	primates	3	12
RNF19A	mandrillus_leucophaeus	drill	primates	1	12
RNF19A	nomascus_leucogenys	gibbon	primates	1	12
RNF19A	gorilla_gorilla	gorilla	primates	1	12
RNF19A	cercocebus_atys	sooty_mangabey	primates	1	12
RNF19A	macaca_fascicularis	crab_eating_macaque	primates	1	12
RNF19A	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	12
RNF19A	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Rnf19a	rattus_norvegicus	norway_rat	rodentia	1	10
Rnf19a	mus_musculus	house_mouse	rodentia	1	10
NULL	mus_spicilegus	steppe_mouse	rodentia	3	10
Rnf19a	mus_spicilegus	steppe_mouse	rodentia	3	10
Rnf19a	castor_canadensis	american_beaver	rodentia	1	10
Rnf19a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
NULL	octodon_degus	degu	rodentia	1	10
RNF19A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Rnf19a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
