Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
RNF26	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
RNF26	camelus_dromedarius	arabian_camel	artiodactyla	1	5
RNF26	sus_scrofa	wild_boar	artiodactyla	1	5
RNF26	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
RNF26	bison_bison_bison	american_bison	artiodactyla	1	5
RNF26	lynx_canadensis	canadian_lynx	carnivora	1	9
RNF26	zalophus_californianus	cali_sea_lion	carnivora	1	9
RNF26	panthera_pardus	leopard	carnivora	1	9
RNF26	vulpes_vulpes	red_fox	carnivora	1	9
RNF26	panthera_leo	lion	carnivora	1	9
RNF26	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
RNF26	felis_catus	domestic_cat	carnivora	1	9
RNF26	ursus_maritimus	polar_bear	carnivora	1	9
RNF26	canis_lupus_dingo	dingo	carnivora	1	9
RNF26	delphinapterus_leucas	beluga_whale	cetacea	1	1
RNF26	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
RNF26	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
RNF26	oryctolagus_cuniculus	rabbit	lagomorpha	1	1
RNF26	equus_asinus_asinus	donkey	perissodactyla	1	2
RNF26	equus_caballus	domestic_horse	perissodactyla	1	2
RNF26	mandrillus_leucophaeus	drill	primates	1	10
RNF26	pan_troglodytes	chimpanzee	primates	1	10
RNF26	gorilla_gorilla	gorilla	primates	1	10
NULL	papio_anubis	olive_baboon	primates	2	10
RNF26	macaca_fascicularis	crab_eating_macaque	primates	1	10
RNF26	aotus_nancymaae	mas_night_monkey	primates	1	10
RNF26	nomascus_leucogenys	gibbon	primates	1	10
RNF26	cercocebus_atys	sooty_mangabey	primates	1	10
RNF26	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
RNF26	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
RNF26	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	8
NULL	castor_canadensis	american_beaver	rodentia	1	8
RNF26	octodon_degus	degu	rodentia	1	8
Gm49380	mus_musculus	house_mouse	rodentia	3	8
Rnf26	rattus_norvegicus	norway_rat	rodentia	1	8
RNF26	cavia_aperea	brazilian_guinea_pig	rodentia	1	8
Gm9008	mus_musculus	house_mouse	rodentia	3	8
Rnf26	mus_musculus	house_mouse	rodentia	3	8
RNF26	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
