Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SF3B4	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	7
SF3B4	sus_scrofa	wild_boar	artiodactyla	1	7
SF3B4	camelus_dromedarius	arabian_camel	artiodactyla	1	7
NULL	bison_bison_bison	american_bison	artiodactyla	2	7
SF3B4	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	7
SF3B4	canis_lupus_dingo	dingo	carnivora	1	12
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	12
NULL	vulpes_vulpes	red_fox	carnivora	2	12
SF3B4	felis_catus	domestic_cat	carnivora	1	12
SF3B4	ailuropoda_melanoleuca	giant_panda	carnivora	1	12
SF3B4	panthera_leo	lion	carnivora	1	12
SF3B4	lynx_canadensis	canadian_lynx	carnivora	1	12
SF3B4	canis_lupus_familiaris	domestic_dog	carnivora	1	12
SF3B4	panthera_pardus	leopard	carnivora	1	12
SF3B4	ursus_maritimus	polar_bear	carnivora	1	12
SF3B4	delphinapterus_leucas	beluga_whale	cetacea	1	1
SF3B4	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
SF3B4	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
SF3B4	ochotona_princeps	american_pika	lagomorpha	1	2
SF3B4	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
SF3B4	equus_asinus_asinus	donkey	perissodactyla	1	2
SF3B4	equus_caballus	domestic_horse	perissodactyla	1	2
SF3B4	macaca_fascicularis	crab_eating_macaque	primates	2	14
SF3B4	aotus_nancymaae	mas_night_monkey	primates	1	14
NULL	nomascus_leucogenys	gibbon	primates	2	14
NULL	pan_troglodytes	chimpanzee	primates	2	14
SF3B4	papio_anubis	olive_baboon	primates	1	14
SF3B4	carlito_syrichta	philippine_tarsier	primates	1	14
SF3B4	mandrillus_leucophaeus	drill	primates	1	14
SF3B4	cercocebus_atys	sooty_mangabey	primates	1	14
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	14
SF3B4	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	14
SF3B4	pan_troglodytes	chimpanzee	primates	2	14
NULL	gorilla_gorilla	gorilla	primates	2	14
SF3B4	gorilla_gorilla	gorilla	primates	2	14
SF3B4	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Sf3b4	rattus_norvegicus	norway_rat	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
Sf3b4	mus_musculus	house_mouse	rodentia	1	10
Sf3b4	mus_spicilegus	steppe_mouse	rodentia	1	10
Sf3b4	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Sf3b4	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
SF3B4	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
Sf3b4	castor_canadensis	american_beaver	rodentia	1	10
SF3B4	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
