Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SNRPA	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
SNRPB2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
SNRPA	bison_bison_bison	american_bison	artiodactyla	3	15
SNRPA	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
NULL	bison_bison_bison	american_bison	artiodactyla	3	15
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
SNRPA	sus_scrofa	wild_boar	artiodactyla	4	15
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	15
NULL	sus_scrofa	wild_boar	artiodactyla	4	15
SNRPA	camelus_dromedarius	arabian_camel	artiodactyla	2	15
SNRPB2	camelus_dromedarius	arabian_camel	artiodactyla	2	15
SNRPB2	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
SNRPB2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	15
NULL	canis_lupus_familiaris	domestic_dog	carnivora	6	42
NULL	vulpes_vulpes	red_fox	carnivora	6	42
SNRPA	ursus_maritimus	polar_bear	carnivora	3	42
NULL	zalophus_californianus	cali_sea_lion	carnivora	5	42
NULL	panthera_leo	lion	carnivora	4	42
NULL	canis_lupus_dingo	dingo	carnivora	8	42
SNRPA	lynx_canadensis	canadian_lynx	carnivora	2	42
SNRPB2	vulpes_vulpes	red_fox	carnivora	6	42
NULL	ursus_maritimus	polar_bear	carnivora	3	42
NULL	felis_catus	domestic_cat	carnivora	3	42
SNRPA	panthera_leo	lion	carnivora	4	42
SNRPA	panthera_pardus	leopard	carnivora	3	42
SNRPA	felis_catus	domestic_cat	carnivora	3	42
NULL	panthera_pardus	leopard	carnivora	3	42
SNRPA	vulpes_vulpes	red_fox	carnivora	6	42
SNRPB2	lynx_canadensis	canadian_lynx	carnivora	2	42
SNRPB2	ailuropoda_melanoleuca	giant_panda	carnivora	2	42
SNRPA	ailuropoda_melanoleuca	giant_panda	carnivora	2	42
SNRPB2	canis_lupus_familiaris	domestic_dog	carnivora	6	42
SNRPA	zalophus_californianus	cali_sea_lion	carnivora	5	42
SNRPB2	felis_catus	domestic_cat	carnivora	3	42
SNRPA	delphinapterus_leucas	beluga_whale	cetacea	2	2
SNRPB2	delphinapterus_leucas	beluga_whale	cetacea	2	2
SNRPA	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
SNRPB2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
SNRPA	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	4
SNRPB2	sorex_araneus	european_shrew	eulipotyphyla	2	4
SNRPA	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
SNRPB2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	ochotona_princeps	american_pika	lagomorpha	2	4
SNRPA	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
SNRPB2	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
SNRPA	ochotona_princeps	american_pika	lagomorpha	2	4
