Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SPR	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
SPR	sus_scrofa	wild_boar	artiodactyla	1	5
SPR	bison_bison_bison	american_bison	artiodactyla	1	5
SPR	camelus_dromedarius	arabian_camel	artiodactyla	1	5
SPR	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
SPR	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
SPR	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
SPR	canis_lupus_dingo	dingo	carnivora	1	9
SPR	felis_catus	domestic_cat	carnivora	1	9
SPR	panthera_leo	lion	carnivora	1	9
SPR	lynx_canadensis	canadian_lynx	carnivora	1	9
SPR	zalophus_californianus	cali_sea_lion	carnivora	1	9
SPR	vulpes_vulpes	red_fox	carnivora	1	9
SPR	panthera_pardus	leopard	carnivora	1	9
SPR	canis_lupus_familiaris	domestic_dog	carnivora	1	9
SPR	delphinapterus_leucas	beluga_whale	cetacea	1	1
SPR	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
SPR	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
SPR	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
SPR	ochotona_princeps	american_pika	lagomorpha	1	2
SPR	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
SPR	equus_caballus	domestic_horse	perissodactyla	1	2
SPR	equus_asinus_asinus	donkey	perissodactyla	1	2
SPR	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
SPR	cercocebus_atys	sooty_mangabey	primates	1	10
SPR	aotus_nancymaae	mas_night_monkey	primates	1	10
SPR	macaca_fascicularis	crab_eating_macaque	primates	1	10
SPR	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
SPR	gorilla_gorilla	gorilla	primates	1	10
SPR	pan_troglodytes	chimpanzee	primates	1	10
SPR	papio_anubis	olive_baboon	primates	1	10
SPR	nomascus_leucogenys	gibbon	primates	1	10
SPR	carlito_syrichta	philippine_tarsier	primates	1	10
SPR	mandrillus_leucophaeus	drill	primates	1	10
SPR	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Spr	mus_musculus	house_mouse	rodentia	1	11
Spr	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
RGD1560795	rattus_norvegicus	norway_rat	rodentia	2	11
Spr	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	11
SPR	octodon_degus	degu	rodentia	1	11
Spr	mus_spicilegus	steppe_mouse	rodentia	1	11
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
Spr	castor_canadensis	american_beaver	rodentia	1	11
SPR	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
SPR	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
