Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
TAGAP	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
TAGAP	sus_scrofa	wild_boar	artiodactyla	1	6
TAGAP	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
NULL	bison_bison_bison	american_bison	artiodactyla	2	6
TAGAP	camelus_dromedarius	arabian_camel	artiodactyla	1	6
TAGAP	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
TAGAP	ursus_maritimus	polar_bear	carnivora	1	10
TAGAP	felis_catus	domestic_cat	carnivora	1	10
NULL	panthera_pardus	leopard	carnivora	1	10
TAGAP	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
TAGAP	canis_lupus_familiaris	domestic_dog	carnivora	1	10
TAGAP	zalophus_californianus	cali_sea_lion	carnivora	1	10
TAGAP	vulpes_vulpes	red_fox	carnivora	1	10
TAGAP	canis_lupus_dingo	dingo	carnivora	1	10
TAGAP	panthera_leo	lion	carnivora	1	10
TAGAP	lynx_canadensis	canadian_lynx	carnivora	1	10
TAGAP	delphinapterus_leucas	beluga_whale	cetacea	1	1
TAGAP	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
TAGAP	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
TAGAP	sorex_araneus	european_shrew	eulipotyphyla	1	2
TAGAP	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
TAGAP	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
TAGAP	ochotona_princeps	american_pika	lagomorpha	1	2
TAGAP	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
TAGAP	equus_asinus_asinus	donkey	perissodactyla	1	2
TAGAP	equus_caballus	domestic_horse	perissodactyla	1	2
TAGAP	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
TAGAP	nomascus_leucogenys	gibbon	primates	1	10
TAGAP	mandrillus_leucophaeus	drill	primates	1	10
TAGAP	macaca_fascicularis	crab_eating_macaque	primates	1	10
TAGAP	pan_troglodytes	chimpanzee	primates	1	10
TAGAP	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
TAGAP	gorilla_gorilla	gorilla	primates	1	10
TAGAP	cercocebus_atys	sooty_mangabey	primates	1	10
TAGAP	aotus_nancymaae	mas_night_monkey	primates	1	10
NULL	carlito_syrichta	philippine_tarsier	primates	1	10
TAGAP	papio_anubis	olive_baboon	primates	1	10
TAGAP	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Tagap1	mus_musculus	house_mouse	rodentia	2	10
Tagap	mus_musculus	house_mouse	rodentia	2	10
TAGAP	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Tagap	rattus_norvegicus	norway_rat	rodentia	1	10
TAGAP	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
NULL	mus_spicilegus	steppe_mouse	rodentia	1	10
TAGAP	octodon_degus	degu	rodentia	1	10
NULL	castor_canadensis	american_beaver	rodentia	1	10
TAGAP	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
