Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
NULL	bison_bison_bison	american_bison	artiodactyla	2	9
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	9
NULL	sus_scrofa	wild_boar	artiodactyla	1	9
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	6
NULL	felis_catus	domestic_cat	carnivora	1	6
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	6
NULL	ursus_maritimus	polar_bear	carnivora	1	6
NULL	lynx_canadensis	canadian_lynx	carnivora	1	6
TEX19	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
TEX19	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
TEX19	pan_troglodytes	chimpanzee	primates	1	3
TEX19	gorilla_gorilla	gorilla	primates	1	3
TEX19	nomascus_leucogenys	gibbon	primates	1	3
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Tex19.2	mus_musculus	house_mouse	rodentia	2	10
Tex19.2	rattus_norvegicus	norway_rat	rodentia	2	10
NULL	castor_canadensis	american_beaver	rodentia	2	10
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	10
Tex19.2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
Tex19.1	mus_musculus	house_mouse	rodentia	2	10
Tex19.1	rattus_norvegicus	norway_rat	rodentia	2	10
Tex19.1	mus_spicilegus	steppe_mouse	rodentia	2	10
Tex19.2	mus_spicilegus	steppe_mouse	rodentia	2	10
TEX19	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
