Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	sus_scrofa	wild_boar	artiodactyla	1	5
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NULL	bison_bison_bison	american_bison	artiodactyla	1	5
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	5
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
NULL	canis_lupus_dingo	dingo	carnivora	1	10
NULL	ursus_maritimus	polar_bear	carnivora	1	10
TIMM10B	vulpes_vulpes	red_fox	carnivora	1	10
NULL	lynx_canadensis	canadian_lynx	carnivora	1	10
TIMM10B	canis_lupus_familiaris	domestic_dog	carnivora	1	10
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	10
TIMM10B	felis_catus	domestic_cat	carnivora	1	10
NULL	panthera_leo	lion	carnivora	1	10
NULL	panthera_pardus	leopard	carnivora	1	10
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
TIMM10B	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	mandrillus_leucophaeus	drill	primates	1	10
NULL	papio_anubis	olive_baboon	primates	1	10
NULL	aotus_nancymaae	mas_night_monkey	primates	1	10
NULL	carlito_syrichta	philippine_tarsier	primates	1	10
TIMM10B	pan_troglodytes	chimpanzee	primates	1	10
TIMM10B	macaca_fascicularis	crab_eating_macaque	primates	1	10
NULL	nomascus_leucogenys	gibbon	primates	1	10
NULL	gorilla_gorilla	gorilla	primates	1	10
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
NULL	cercocebus_atys	sooty_mangabey	primates	1	10
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	2	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
Timm10b	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
NULL	octodon_degus	degu	rodentia	1	11
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
NULL	mus_spicilegus	steppe_mouse	rodentia	1	11
Gm45799	mus_musculus	house_mouse	rodentia	2	11
Timm10b	mus_musculus	house_mouse	rodentia	2	11
AABR07045462.1	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
