Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
TP53RK	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
TP53RK	sus_scrofa	wild_boar	artiodactyla	1	5
TP53RK	bison_bison_bison	american_bison	artiodactyla	1	5
TP53RK	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
TP53RK	camelus_dromedarius	arabian_camel	artiodactyla	1	5
TP53RK	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
TP53RK	lynx_canadensis	canadian_lynx	carnivora	1	9
TP53RK	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
TP53RK	panthera_leo	lion	carnivora	1	9
TP53RK	panthera_pardus	leopard	carnivora	1	9
TP53RK	zalophus_californianus	cali_sea_lion	carnivora	1	9
TP53RK	felis_catus	domestic_cat	carnivora	1	9
TP53RK	canis_lupus_familiaris	domestic_dog	carnivora	1	9
TP53RK	vulpes_vulpes	red_fox	carnivora	1	9
TP53RK	canis_lupus_dingo	dingo	carnivora	1	9
TP53RK	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
TP53RK	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
TP53RK	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
TP53RK	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
TP53RK	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
TP53RK	ochotona_princeps	american_pika	lagomorpha	1	2
TP53RK	equus_asinus_asinus	donkey	perissodactyla	1	2
TP53RK	equus_caballus	domestic_horse	perissodactyla	1	2
TP53RK	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
TP53RK	papio_anubis	olive_baboon	primates	1	9
TP53RK	pan_troglodytes	chimpanzee	primates	1	9
TP53RK	cercocebus_atys	sooty_mangabey	primates	1	9
TP53RK	macaca_fascicularis	crab_eating_macaque	primates	1	9
TP53RK	mandrillus_leucophaeus	drill	primates	1	9
TP53RK	gorilla_gorilla	gorilla	primates	1	9
TP53RK	nomascus_leucogenys	gibbon	primates	1	9
TP53RK	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
TP53RK	aotus_nancymaae	mas_night_monkey	primates	1	9
TP53RK	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	11
NULL	mus_spicilegus	steppe_mouse	rodentia	1	11
TP53RK	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
NULL	castor_canadensis	american_beaver	rodentia	2	11
Trp53rkb	mus_musculus	house_mouse	rodentia	2	11
LOC685619	rattus_norvegicus	norway_rat	rodentia	2	11
TP53RK	octodon_degus	degu	rodentia	1	11
Tp53rk	rattus_norvegicus	norway_rat	rodentia	2	11
Trp53rka	mus_musculus	house_mouse	rodentia	2	11
TP53RK	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
