Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
UBALD2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
UBALD1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
UBALD2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
UBALD1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	9
UBALD2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	9
UBALD1	sus_scrofa	wild_boar	artiodactyla	2	9
UBALD1	camelus_dromedarius	arabian_camel	artiodactyla	1	9
UBALD2	sus_scrofa	wild_boar	artiodactyla	2	9
UBALD2	bison_bison_bison	american_bison	artiodactyla	2	9
NULL	bison_bison_bison	american_bison	artiodactyla	2	9
UBALD2	canis_lupus_familiaris	domestic_dog	carnivora	2	23
UBALD2	lynx_canadensis	canadian_lynx	carnivora	2	23
UBALD2	canis_lupus_dingo	dingo	carnivora	2	23
NULL	ursus_maritimus	polar_bear	carnivora	2	23
UBALD1	panthera_pardus	leopard	carnivora	2	23
UBALD2	felis_catus	domestic_cat	carnivora	2	23
UBALD1	felis_catus	domestic_cat	carnivora	2	23
UBALD1	canis_lupus_familiaris	domestic_dog	carnivora	2	23
UBALD1	canis_lupus_dingo	dingo	carnivora	2	23
UBALD1	vulpes_vulpes	red_fox	carnivora	2	23
NULL	zalophus_californianus	cali_sea_lion	carnivora	5	23
UBALD1	lynx_canadensis	canadian_lynx	carnivora	2	23
UBALD2	panthera_pardus	leopard	carnivora	2	23
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	2	23
UBALD1	zalophus_californianus	cali_sea_lion	carnivora	5	23
NULL	panthera_leo	lion	carnivora	2	23
UBALD1	panthera_leo	lion	carnivora	2	23
UBALD2	vulpes_vulpes	red_fox	carnivora	2	23
UBALD2	delphinapterus_leucas	beluga_whale	cetacea	2	2
UBALD1	delphinapterus_leucas	beluga_whale	cetacea	2	2
UBALD2	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
UBALD1	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
UBALD1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
UBALD2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
UBALD1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
UBALD1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
UBALD1	ochotona_princeps	american_pika	lagomorpha	1	2
UBALD2	equus_caballus	domestic_horse	perissodactyla	2	3
UBALD1	equus_asinus_asinus	donkey	perissodactyla	1	3
UBALD1	equus_caballus	domestic_horse	perissodactyla	2	3
UBALD2	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
UBALD1	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	17
UBALD2	cercocebus_atys	sooty_mangabey	primates	2	17
UBALD1	carlito_syrichta	philippine_tarsier	primates	2	17
UBALD2	pan_troglodytes	chimpanzee	primates	2	17
UBALD1	macaca_fascicularis	crab_eating_macaque	primates	2	17
UBALD1	cercocebus_atys	sooty_mangabey	primates	2	17
UBALD1	aotus_nancymaae	mas_night_monkey	primates	2	17
UBALD1	pan_troglodytes	chimpanzee	primates	2	17
NULL	gorilla_gorilla	gorilla	primates	2	17
NULL	carlito_syrichta	philippine_tarsier	primates	2	17
UBALD1	papio_anubis	olive_baboon	primates	2	17
UBALD2	papio_anubis	olive_baboon	primates	2	17
UBALD2	macaca_fascicularis	crab_eating_macaque	primates	2	17
UBALD2	aotus_nancymaae	mas_night_monkey	primates	2	17
UBALD2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	17
UBALD1	mandrillus_leucophaeus	drill	primates	1	17
UBALD1	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
UBALD2	loxodonta_africana	african_savanna_elephant	proboscidea	2	2
Ubald2	mus_musculus	house_mouse	rodentia	2	23
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
UBALD2	octodon_degus	degu	rodentia	3	23
Ubald1	mus_spicilegus	steppe_mouse	rodentia	3	23
Ubald1	castor_canadensis	american_beaver	rodentia	2	23
Ubald1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	4	23
Ubald1	rattus_norvegicus	norway_rat	rodentia	3	23
Ubald2	castor_canadensis	american_beaver	rodentia	2	23
UBALD2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
Ubald2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
NULL	octodon_degus	degu	rodentia	3	23
LOC100910875	rattus_norvegicus	norway_rat	rodentia	3	23
UBALD2	cavia_aperea	brazilian_guinea_pig	rodentia	2	23
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	23
Ubald1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
NULL	mus_spicilegus	steppe_mouse	rodentia	3	23
Ubald1	mus_musculus	house_mouse	rodentia	2	23
UBALD1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
Ubald2	rattus_norvegicus	norway_rat	rodentia	3	23
