Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	sus_scrofa	wild_boar	artiodactyla	2	6
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	6
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
NULL	bison_bison_bison	american_bison	artiodactyla	1	6
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
NULL	lynx_canadensis	canadian_lynx	carnivora	1	9
UBE2F	felis_catus	domestic_cat	carnivora	1	9
NULL	canis_lupus_dingo	dingo	carnivora	1	9
UBE2F	vulpes_vulpes	red_fox	carnivora	1	9
UBE2F	canis_lupus_familiaris	domestic_dog	carnivora	1	9
NULL	zalophus_californianus	cali_sea_lion	carnivora	1	9
NULL	ursus_maritimus	polar_bear	carnivora	1	9
NULL	panthera_pardus	leopard	carnivora	1	9
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
UBE2F	ochotona_princeps	american_pika	lagomorpha	1	3
NULL	oryctolagus_cuniculus	rabbit	lagomorpha	2	3
UBE2F	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
NULL	papio_anubis	olive_baboon	primates	3	27
NULL	carlito_syrichta	philippine_tarsier	primates	5	27
NULL	mandrillus_leucophaeus	drill	primates	3	27
NULL	aotus_nancymaae	mas_night_monkey	primates	4	27
UBE2F	macaca_fascicularis	crab_eating_macaque	primates	3	27
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	27
UBE2F	nomascus_leucogenys	gibbon	primates	1	27
NULL	gorilla_gorilla	gorilla	primates	2	27
UBE2F	cercocebus_atys	sooty_mangabey	primates	3	27
NULL	pan_troglodytes	chimpanzee	primates	2	27
UBE2F	pan_troglodytes	chimpanzee	primates	2	27
UBE2F	gorilla_gorilla	gorilla	primates	2	27
NULL	cercocebus_atys	sooty_mangabey	primates	3	27
UBE2F	mandrillus_leucophaeus	drill	primates	3	27
NULL	macaca_fascicularis	crab_eating_macaque	primates	3	27
UBE2F	papio_anubis	olive_baboon	primates	3	27
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Ube2f	mus_musculus	house_mouse	rodentia	1	12
Ube2f	mus_spicilegus	steppe_mouse	rodentia	1	12
Ube2f	rattus_norvegicus	norway_rat	rodentia	1	12
NULL	octodon_degus	degu	rodentia	4	12
UBE2F	cavia_aperea	brazilian_guinea_pig	rodentia	1	12
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
Ube2f	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	12
Ube2f	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	12
Ube2f	castor_canadensis	american_beaver	rodentia	1	12
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
