Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
UCHL3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	7
UCHL3	bison_bison_bison	american_bison	artiodactyla	1	7
UCHL3	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	7
UCHL3	sus_scrofa	wild_boar	artiodactyla	1	7
UCHL3	camelus_dromedarius	arabian_camel	artiodactyla	1	7
UCHL3	canis_lupus_dingo	dingo	carnivora	1	12
NULL	lynx_canadensis	canadian_lynx	carnivora	2	12
UCHL3	vulpes_vulpes	red_fox	carnivora	1	12
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	12
UCHL3	panthera_pardus	leopard	carnivora	1	12
UCHL3	ursus_maritimus	polar_bear	carnivora	1	12
UCHL3	ailuropoda_melanoleuca	giant_panda	carnivora	1	12
UCHL3	canis_lupus_familiaris	domestic_dog	carnivora	1	12
UCHL3	panthera_leo	lion	carnivora	1	12
UCHL3	felis_catus	domestic_cat	carnivora	1	12
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
UCHL3	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
UCHL3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
UCHL3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
UCHL3	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
UCHL3	ochotona_princeps	american_pika	lagomorpha	1	2
UCHL3	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
UCHL3	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
UCHL3	macaca_fascicularis	crab_eating_macaque	primates	1	9
UCHL3	aotus_nancymaae	mas_night_monkey	primates	1	9
UCHL3	nomascus_leucogenys	gibbon	primates	1	9
UCHL3	cercocebus_atys	sooty_mangabey	primates	1	9
UCHL3	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
UCHL3	gorilla_gorilla	gorilla	primates	1	9
UCHL3	mandrillus_leucophaeus	drill	primates	1	9
UCHL3	carlito_syrichta	philippine_tarsier	primates	1	9
UCHL3	papio_anubis	olive_baboon	primates	1	9
UCHL3	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	18
Uchl3	rattus_norvegicus	norway_rat	rodentia	2	18
Uchl4	mus_musculus	house_mouse	rodentia	2	18
NULL	castor_canadensis	american_beaver	rodentia	2	18
Uchl4	mus_spicilegus	steppe_mouse	rodentia	2	18
UCHL3	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	18
NULL	octodon_degus	degu	rodentia	2	18
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	18
NULL	mus_spicilegus	steppe_mouse	rodentia	2	18
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	18
Uchl3	mus_musculus	house_mouse	rodentia	2	18
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
