Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
VWA5A	bison_bison_bison	american_bison	artiodactyla	1	5
VWA5A	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
NULL	camelus_dromedarius	arabian_camel	artiodactyla	1	5
VWA5A	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
VWA5A	sus_scrofa	wild_boar	artiodactyla	1	5
VWA5A	vulpes_vulpes	red_fox	carnivora	1	11
VWA5A	zalophus_californianus	cali_sea_lion	carnivora	1	11
VWA5A	panthera_pardus	leopard	carnivora	1	11
VWA5A	canis_lupus_familiaris	domestic_dog	carnivora	1	11
VWA5A	ailuropoda_melanoleuca	giant_panda	carnivora	1	11
NULL	felis_catus	domestic_cat	carnivora	2	11
VWA5A	lynx_canadensis	canadian_lynx	carnivora	1	11
VWA5A	ursus_maritimus	polar_bear	carnivora	1	11
VWA5A	canis_lupus_dingo	dingo	carnivora	1	11
VWA5A	panthera_leo	lion	carnivora	1	11
VWA5A	felis_catus	domestic_cat	carnivora	2	11
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
VWA5A	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
VWA5A	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
VWA5A	sorex_araneus	european_shrew	eulipotyphyla	1	2
NULL	ochotona_princeps	american_pika	lagomorpha	1	1
VWA5A	equus_asinus_asinus	donkey	perissodactyla	1	2
VWA5A	equus_caballus	domestic_horse	perissodactyla	1	2
VWA5A	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
VWA5A	carlito_syrichta	philippine_tarsier	primates	1	9
VWA5A	papio_anubis	olive_baboon	primates	1	9
VWA5A	pan_troglodytes	chimpanzee	primates	1	9
VWA5A	mandrillus_leucophaeus	drill	primates	1	9
VWA5A	cercocebus_atys	sooty_mangabey	primates	1	9
VWA5A	macaca_fascicularis	crab_eating_macaque	primates	1	9
VWA5A	nomascus_leucogenys	gibbon	primates	1	9
VWA5A	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
VWA5A	gorilla_gorilla	gorilla	primates	1	9
VWA5A	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
LOC108348048	rattus_norvegicus	norway_rat	rodentia	3	14
AW551984	mus_spicilegus	steppe_mouse	rodentia	2	14
AW551984	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	14
Vwa5a	mus_spicilegus	steppe_mouse	rodentia	2	14
AW551984	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
RGD1311744	rattus_norvegicus	norway_rat	rodentia	3	14
Vwa5a	mus_musculus	house_mouse	rodentia	2	14
NULL	castor_canadensis	american_beaver	rodentia	1	14
AW551984	mus_musculus	house_mouse	rodentia	2	14
Vwa5a	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	14
Vwa5a	rattus_norvegicus	norway_rat	rodentia	3	14
VWA5A	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	14
Vwa5a	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	14
VWA5A	octodon_degus	degu	rodentia	1	14
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	5	5
