Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ZNF790	camelus_dromedarius	arabian_camel	artiodactyla	1	1
ZNF790	canis_lupus_familiaris	domestic_dog	carnivora	1	10
ZNF790	vulpes_vulpes	red_fox	carnivora	1	10
ZNF790	felis_catus	domestic_cat	carnivora	1	10
ZNF790	panthera_pardus	leopard	carnivora	1	10
ZNF790	panthera_leo	lion	carnivora	1	10
ZNF790	ursus_maritimus	polar_bear	carnivora	1	10
ZNF790	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
ZNF790	canis_lupus_dingo	dingo	carnivora	1	10
ZNF790	lynx_canadensis	canadian_lynx	carnivora	1	10
ZNF790	zalophus_californianus	cali_sea_lion	carnivora	1	10
ZNF790	delphinapterus_leucas	beluga_whale	cetacea	1	1
ZNF790	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
ZNF790	equus_asinus_asinus	donkey	perissodactyla	1	2
ZNF790	equus_caballus	domestic_horse	perissodactyla	1	2
ZNF345	pan_troglodytes	chimpanzee	primates	1	9
ZNF790	carlito_syrichta	philippine_tarsier	primates	1	9
ZNF790	gorilla_gorilla	gorilla	primates	1	9
ZNF790	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	9
ZNF790	cercocebus_atys	sooty_mangabey	primates	1	9
ZNF790	macaca_fascicularis	crab_eating_macaque	primates	1	9
ZNF790	nomascus_leucogenys	gibbon	primates	1	9
ZNF790	papio_anubis	olive_baboon	primates	1	9
ZNF790	mandrillus_leucophaeus	drill	primates	1	9
NULL	castor_canadensis	american_beaver	rodentia	1	1
