Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SIVA1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
SIVA1	sus_scrofa	wild_boar	artiodactyla	1	5
SIVA1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
SIVA1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
SIVA1	bison_bison_bison	american_bison	artiodactyla	1	5
NULL	lynx_canadensis	canadian_lynx	carnivora	1	9
SIVA1	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
SIVA1	panthera_leo	lion	carnivora	1	9
SIVA1	zalophus_californianus	cali_sea_lion	carnivora	1	9
SIVA1	panthera_pardus	leopard	carnivora	1	9
SIVA1	felis_catus	domestic_cat	carnivora	1	9
SIVA1	canis_lupus_familiaris	domestic_dog	carnivora	1	9
SIVA1	vulpes_vulpes	red_fox	carnivora	1	9
SIVA1	canis_lupus_dingo	dingo	carnivora	1	9
SIVA1	delphinapterus_leucas	beluga_whale	cetacea	1	1
SIVA1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
SIVA1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
SIVA1	ochotona_princeps	american_pika	lagomorpha	1	1
SIVA1	equus_asinus_asinus	donkey	perissodactyla	1	2
SIVA1	equus_caballus	domestic_horse	perissodactyla	1	2
SIVA1	cercocebus_atys	sooty_mangabey	primates	1	10
SIVA1	mandrillus_leucophaeus	drill	primates	1	10
SIVA1	macaca_fascicularis	crab_eating_macaque	primates	1	10
SIVA1	papio_anubis	olive_baboon	primates	1	10
SIVA1	aotus_nancymaae	mas_night_monkey	primates	1	10
SIVA1	carlito_syrichta	philippine_tarsier	primates	1	10
SIVA1	gorilla_gorilla	gorilla	primates	1	10
SIVA1	pan_troglodytes	chimpanzee	primates	1	10
SIVA1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
SIVA1	nomascus_leucogenys	gibbon	primates	1	10
SIVA1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Siva1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	10
NULL	mus_spicilegus	steppe_mouse	rodentia	2	10
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	10
NULL	octodon_degus	degu	rodentia	2	10
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	10
Siva1	mus_musculus	house_mouse	rodentia	1	10
Siva1	castor_canadensis	american_beaver	rodentia	1	10
Siva1	rattus_norvegicus	norway_rat	rodentia	1	10
