Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	sus_scrofa	wild_boar	artiodactyla	2	7
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	7
CD99L2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	7
CD99L2	sus_scrofa	wild_boar	artiodactyla	2	7
CD99L2	camelus_dromedarius	arabian_camel	artiodactyla	1	7
CD99	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	7
CD99L2	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	7
NULL	ursus_maritimus	polar_bear	carnivora	1	15
NULL	vulpes_vulpes	red_fox	carnivora	2	15
CD99L2	zalophus_californianus	cali_sea_lion	carnivora	2	15
CD99L2	canis_lupus_dingo	dingo	carnivora	2	15
NULL	felis_catus	domestic_cat	carnivora	2	15
CD99	canis_lupus_dingo	dingo	carnivora	2	15
CD99L2	canis_lupus_familiaris	domestic_dog	carnivora	1	15
CD99L2	panthera_leo	lion	carnivora	2	15
CD99	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
CD99L2	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
CD99L2	panthera_pardus	leopard	carnivora	1	15
CD99L2	felis_catus	domestic_cat	carnivora	2	15
CD99	panthera_leo	lion	carnivora	2	15
CD99	zalophus_californianus	cali_sea_lion	carnivora	2	15
CD99L2	delphinapterus_leucas	beluga_whale	cetacea	2	2
CD99	delphinapterus_leucas	beluga_whale	cetacea	2	2
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
CD99	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
CD99L2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
CD99L2	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
CD99L2	equus_asinus_asinus	donkey	perissodactyla	1	3
CD99L2	equus_caballus	domestic_horse	perissodactyla	2	3
CD99	equus_caballus	domestic_horse	perissodactyla	2	3
CD99	papio_anubis	olive_baboon	primates	2	22
CD99	macaca_fascicularis	crab_eating_macaque	primates	2	22
CD99	cercocebus_atys	sooty_mangabey	primates	2	22
NULL	nomascus_leucogenys	gibbon	primates	3	22
CD99L2	gorilla_gorilla	gorilla	primates	3	22
CD99L2	macaca_fascicularis	crab_eating_macaque	primates	2	22
CD99L2	aotus_nancymaae	mas_night_monkey	primates	3	22
CD99L2	cercocebus_atys	sooty_mangabey	primates	2	22
NULL	gorilla_gorilla	gorilla	primates	3	22
NULL	aotus_nancymaae	mas_night_monkey	primates	3	22
NULL	pan_troglodytes	chimpanzee	primates	2	22
CD99L2	mandrillus_leucophaeus	drill	primates	2	22
CD99L2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	22
CD99L2	papio_anubis	olive_baboon	primates	2	22
CD99L2	nomascus_leucogenys	gibbon	primates	3	22
CD99	mandrillus_leucophaeus	drill	primates	2	22
CD99L2	carlito_syrichta	philippine_tarsier	primates	1	22
CD99	aotus_nancymaae	mas_night_monkey	primates	3	22
CD99L2	pan_troglodytes	chimpanzee	primates	2	22
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	22
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
RGD1559441	rattus_norvegicus	norway_rat	rodentia	4	12
LOC108348081	rattus_norvegicus	norway_rat	rodentia	4	12
NULL	mus_spicilegus	steppe_mouse	rodentia	1	12
CD99L2	octodon_degus	degu	rodentia	1	12
Cd99l2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	12
NULL	castor_canadensis	american_beaver	rodentia	2	12
Cd99	rattus_norvegicus	norway_rat	rodentia	4	12
Cd99l2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	12
Cd99l2	mus_musculus	house_mouse	rodentia	1	12
Cd99l2	rattus_norvegicus	norway_rat	rodentia	4	12
CD99L2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
