Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	16
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	16
FUT2	sus_scrofa	wild_boar	artiodactyla	3	16
NULL	sus_scrofa	wild_boar	artiodactyla	3	16
FUT1	sus_scrofa	wild_boar	artiodactyla	3	16
FUT1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	16
NULL	bison_bison_bison	american_bison	artiodactyla	3	16
FUT1	bison_bison_bison	american_bison	artiodactyla	3	16
NULL	camelus_dromedarius	arabian_camel	artiodactyla	4	16
FUT1	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	16
FUT1	zalophus_californianus	cali_sea_lion	carnivora	3	25
NULL	lynx_canadensis	canadian_lynx	carnivora	3	25
FUT2	felis_catus	domestic_cat	carnivora	2	25
FUT2	zalophus_californianus	cali_sea_lion	carnivora	3	25
FUT2	vulpes_vulpes	red_fox	carnivora	2	25
FUT1	lynx_canadensis	canadian_lynx	carnivora	3	25
FUT1	canis_lupus_familiaris	domestic_dog	carnivora	2	25
NULL	zalophus_californianus	cali_sea_lion	carnivora	3	25
NULL	panthera_leo	lion	carnivora	2	25
NULL	ursus_maritimus	polar_bear	carnivora	3	25
FUT1	panthera_pardus	leopard	carnivora	2	25
FUT1	ursus_maritimus	polar_bear	carnivora	3	25
FUT2	ursus_maritimus	polar_bear	carnivora	3	25
NULL	canis_lupus_familiaris	domestic_dog	carnivora	2	25
FUT2	panthera_pardus	leopard	carnivora	2	25
FUT1	felis_catus	domestic_cat	carnivora	2	25
FUT1	canis_lupus_dingo	dingo	carnivora	3	25
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	25
FUT2	canis_lupus_dingo	dingo	carnivora	3	25
FUT1	vulpes_vulpes	red_fox	carnivora	2	25
FUT1	ailuropoda_melanoleuca	giant_panda	carnivora	3	25
NULL	canis_lupus_dingo	dingo	carnivora	3	25
FUT2	ailuropoda_melanoleuca	giant_panda	carnivora	3	25
FUT1	delphinapterus_leucas	beluga_whale	cetacea	3	3
NULL	delphinapterus_leucas	beluga_whale	cetacea	3	3
FUT1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
FUT1	sorex_araneus	european_shrew	eulipotyphyla	2	3
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	3
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	3
FUT1	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
FUT2	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
FUT2	oryctolagus_cuniculus	rabbit	lagomorpha	2	2
FUT1	oryctolagus_cuniculus	rabbit	lagomorpha	2	2
NULL	equus_caballus	domestic_horse	perissodactyla	4	6
FUT1	equus_caballus	domestic_horse	perissodactyla	4	6
FUT2	equus_asinus_asinus	donkey	perissodactyla	2	6
FUT2	equus_caballus	domestic_horse	perissodactyla	4	6
FUT1	equus_asinus_asinus	donkey	perissodactyla	2	6
FUT1	cercocebus_atys	sooty_mangabey	primates	1	11
FUT1	pan_troglodytes	chimpanzee	primates	2	11
FUT1	macaca_fascicularis	crab_eating_macaque	primates	1	11
FUT1	papio_anubis	olive_baboon	primates	1	11
FUT1	gorilla_gorilla	gorilla	primates	2	11
FUT1	mandrillus_leucophaeus	drill	primates	1	11
FUT2	pan_troglodytes	chimpanzee	primates	2	11
FUT1	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	11
FUT2	callithrix_jacchus	white_tufted_ear_marmoset	primates	2	11
FUT2	gorilla_gorilla	gorilla	primates	2	11
FUT1	nomascus_leucogenys	gibbon	primates	1	11
FUT1	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
Fut1	rattus_norvegicus	norway_rat	rodentia	3	23
FUT2	octodon_degus	degu	rodentia	2	23
FUT2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
Fut1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	23
Fut1	castor_canadensis	american_beaver	rodentia	3	23
Sec1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	23
FUT1	octodon_degus	degu	rodentia	2	23
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	23
Sec1	mus_musculus	house_mouse	rodentia	3	23
Sec1	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
FUT1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	23
Fut2	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	23
Fut2	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	23
Fut2	rattus_norvegicus	norway_rat	rodentia	3	23
Fut2	mus_spicilegus	steppe_mouse	rodentia	3	23
Sec1	mus_spicilegus	steppe_mouse	rodentia	3	23
FUT1	mus_spicilegus	steppe_mouse	rodentia	3	23
Sec1	castor_canadensis	american_beaver	rodentia	3	23
Fut2	castor_canadensis	american_beaver	rodentia	3	23
Fut1	mus_musculus	house_mouse	rodentia	3	23
Sec1	rattus_norvegicus	norway_rat	rodentia	3	23
Fut2	mus_musculus	house_mouse	rodentia	3	23
