Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
TFB1M	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	4	4
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	18
TFB2M	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
TFB1M	bison_bison_bison	american_bison	artiodactyla	3	18
TFB2M	bison_bison_bison	american_bison	artiodactyla	3	18
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
DIMT1	camelus_dromedarius	arabian_camel	artiodactyla	3	18
TFB2M	sus_scrofa	wild_boar	artiodactyla	3	18
DIMT1	sus_scrofa	wild_boar	artiodactyla	3	18
TFB1M	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	5	18
TFB1M	camelus_dromedarius	arabian_camel	artiodactyla	3	18
TFB1M	sus_scrofa	wild_boar	artiodactyla	3	18
DIMT1	bison_bison_bison	american_bison	artiodactyla	3	18
TFB2M	camelus_dromedarius	arabian_camel	artiodactyla	3	18
TFB1M	moschus_moschiferus	siberian_musk_deer	artiodactyla	4	18
DIMT1	ursus_maritimus	polar_bear	carnivora	3	36
TFB2M	panthera_pardus	leopard	carnivora	3	36
TFB1M	vulpes_vulpes	red_fox	carnivora	3	36
TFB2M	ursus_maritimus	polar_bear	carnivora	3	36
NULL	canis_lupus_dingo	dingo	carnivora	8	36
TFB1M	panthera_pardus	leopard	carnivora	3	36
NULL	canis_lupus_familiaris	domestic_dog	carnivora	4	36
TFB2M	zalophus_californianus	cali_sea_lion	carnivora	3	36
DIMT1	vulpes_vulpes	red_fox	carnivora	3	36
DIMT1	zalophus_californianus	cali_sea_lion	carnivora	3	36
TFB2M	canis_lupus_familiaris	domestic_dog	carnivora	4	36
DIMT1	canis_lupus_familiaris	domestic_dog	carnivora	4	36
TFB1M	canis_lupus_dingo	dingo	carnivora	8	36
TFB2M	canis_lupus_dingo	dingo	carnivora	8	36
TFB2M	ailuropoda_melanoleuca	giant_panda	carnivora	3	36
DIMT1	ailuropoda_melanoleuca	giant_panda	carnivora	3	36
TFB2M	panthera_leo	lion	carnivora	3	36
DIMT1	panthera_leo	lion	carnivora	3	36
DIMT1	felis_catus	domestic_cat	carnivora	3	36
TFB2M	felis_catus	domestic_cat	carnivora	3	36
TFB1M	ailuropoda_melanoleuca	giant_panda	carnivora	3	36
TFB1M	felis_catus	domestic_cat	carnivora	3	36
TFB1M	canis_lupus_familiaris	domestic_dog	carnivora	4	36
NULL	vulpes_vulpes	red_fox	carnivora	3	36
TFB1M	ursus_maritimus	polar_bear	carnivora	3	36
DIMT1	panthera_pardus	leopard	carnivora	3	36
TFB2M	lynx_canadensis	canadian_lynx	carnivora	3	36
TFB1M	zalophus_californianus	cali_sea_lion	carnivora	3	36
DIMT1	lynx_canadensis	canadian_lynx	carnivora	3	36
TFB1M	lynx_canadensis	canadian_lynx	carnivora	3	36
TFB1M	panthera_leo	lion	carnivora	3	36
DIMT1	delphinapterus_leucas	beluga_whale	cetacea	3	3
TFB1M	delphinapterus_leucas	beluga_whale	cetacea	3	3
TFB2M	delphinapterus_leucas	beluga_whale	cetacea	3	3
TFB2M	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
TFB1M	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
DIMT1	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
DIMT1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
TFB2M	dasypus_novemcinctus	nine_banded_armadillo	cingulata	4	4
TFB1M	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	5
