Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
SELENBP1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
SELENBP1	sus_scrofa	wild_boar	artiodactyla	1	5
SELENBP1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
SELENBP1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
SELENBP1	camelus_dromedarius	arabian_camel	artiodactyla	1	5
SELENBP1	bison_bison_bison	american_bison	artiodactyla	1	5
SELENBP1	panthera_leo	lion	carnivora	1	10
SELENBP1	canis_lupus_dingo	dingo	carnivora	1	10
SELENBP1	ursus_maritimus	polar_bear	carnivora	1	10
SELENBP1	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
SELENBP1	canis_lupus_familiaris	domestic_dog	carnivora	1	10
SELENBP1	lynx_canadensis	canadian_lynx	carnivora	1	10
SELENBP1	vulpes_vulpes	red_fox	carnivora	1	10
SELENBP1	panthera_pardus	leopard	carnivora	1	10
SELENBP1	felis_catus	domestic_cat	carnivora	1	10
SELENBP1	zalophus_californianus	cali_sea_lion	carnivora	1	10
SELENBP1	delphinapterus_leucas	beluga_whale	cetacea	1	1
SELENBP1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
SELENBP1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	1
SELENBP1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
SELENBP1	ochotona_princeps	american_pika	lagomorpha	1	2
SELENBP1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
SELENBP1	equus_caballus	domestic_horse	perissodactyla	1	4
NULL	equus_asinus_asinus	donkey	perissodactyla	3	4
SELENBP1	papio_anubis	olive_baboon	primates	1	11
SELENBP1	macaca_fascicularis	crab_eating_macaque	primates	1	11
NULL	gorilla_gorilla	gorilla	primates	2	11
SELENBP1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
SELENBP1	pan_troglodytes	chimpanzee	primates	1	11
SELENBP1	aotus_nancymaae	mas_night_monkey	primates	1	11
SELENBP1	mandrillus_leucophaeus	drill	primates	1	11
SELENBP1	nomascus_leucogenys	gibbon	primates	1	11
SELENBP1	carlito_syrichta	philippine_tarsier	primates	1	11
SELENBP1	cercocebus_atys	sooty_mangabey	primates	1	11
SELENBP1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Selenbp1	rattus_norvegicus	norway_rat	rodentia	2	11
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	11
NULL	mus_spicilegus	steppe_mouse	rodentia	1	11
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	1	11
Selenbp1	mus_musculus	house_mouse	rodentia	2	11
Selenbp2	mus_musculus	house_mouse	rodentia	2	11
SELENBP1	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	11
NULL	castor_canadensis	american_beaver	rodentia	1	11
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	11
LOC103689947	rattus_norvegicus	norway_rat	rodentia	2	11
SELENBP1	octodon_degus	degu	rodentia	1	11
SELENBP1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
