Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
MRPS36	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
MRPS36	sus_scrofa	wild_boar	artiodactyla	1	6
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
MRPS36	bison_bison_bison	american_bison	artiodactyla	1	6
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	6
MRPS36	camelus_dromedarius	arabian_camel	artiodactyla	1	6
NULL	panthera_leo	lion	carnivora	2	21
MRPS36	ailuropoda_melanoleuca	giant_panda	carnivora	1	21
NULL	zalophus_californianus	cali_sea_lion	carnivora	5	21
NULL	canis_lupus_dingo	dingo	carnivora	3	21
NULL	canis_lupus_familiaris	domestic_dog	carnivora	4	21
NULL	vulpes_vulpes	red_fox	carnivora	3	21
MRPS36	ursus_maritimus	polar_bear	carnivora	1	21
MRPS36	canis_lupus_familiaris	domestic_dog	carnivora	4	21
NULL	panthera_pardus	leopard	carnivora	2	21
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
MRPS36	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
MRPS36	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
MRPS36	sorex_araneus	european_shrew	eulipotyphyla	1	2
MRPS36	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
MRPS36	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
MRPS36	ochotona_princeps	american_pika	lagomorpha	1	2
MRPS36	equus_asinus_asinus	donkey	perissodactyla	1	2
MRPS36	equus_caballus	domestic_horse	perissodactyla	1	2
MRPS36	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
MRPS36	carlito_syrichta	philippine_tarsier	primates	1	20
NULL	papio_anubis	olive_baboon	primates	3	20
MRPS36	aotus_nancymaae	mas_night_monkey	primates	1	20
NULL	nomascus_leucogenys	gibbon	primates	2	20
NULL	cercocebus_atys	sooty_mangabey	primates	3	20
NULL	macaca_fascicularis	crab_eating_macaque	primates	3	20
NULL	mandrillus_leucophaeus	drill	primates	2	20
NULL	gorilla_gorilla	gorilla	primates	2	20
MRPS36	pan_troglodytes	chimpanzee	primates	2	20
NULL	pan_troglodytes	chimpanzee	primates	2	20
MRPS36	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	20
MRPS36	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	mus_spicilegus	steppe_mouse	rodentia	3	21
Mrps36	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	21
NULL	octodon_degus	degu	rodentia	4	21
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	8	21
Mrps36	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	21
NULL	castor_canadensis	american_beaver	rodentia	2	21
Mrps36	mus_musculus	house_mouse	rodentia	1	21
Mrps36	rattus_norvegicus	norway_rat	rodentia	1	21
MRPS36	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
