Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
BPIFB2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
BPIFB1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
BPIFB6	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	5	5
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB2	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
BPIFB6	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFA1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB1	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
NULL	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFA2	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB6	camelus_dromedarius	arabian_camel	artiodactyla	8	41
NULL	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB4	camelus_dromedarius	arabian_camel	artiodactyla	8	41
BPIFB6	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFA1	camelus_dromedarius	arabian_camel	artiodactyla	8	41
NULL	camelus_dromedarius	arabian_camel	artiodactyla	8	41
BPIFB2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB2	camelus_dromedarius	arabian_camel	artiodactyla	8	41
BPIFB4	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFB2	bison_bison_bison	american_bison	artiodactyla	9	41
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
BPIFB3	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB2	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB1	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB6	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
BPIFB6	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
BPIFB1	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFB3	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
BPIFB4	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFB1	camelus_dromedarius	arabian_camel	artiodactyla	8	41
BPIFB3	camelus_dromedarius	arabian_camel	artiodactyla	8	41
BPIFB3	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFA1	moschus_moschiferus	siberian_musk_deer	artiodactyla	7	41
BPIFA1	sus_scrofa	wild_boar	artiodactyla	8	41
BPIFA1	bison_bison_bison	american_bison	artiodactyla	9	41
BPIFB4	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	9	41
NULL	canis_lupus_dingo	dingo	carnivora	8	72
BPIFB3	felis_catus	domestic_cat	carnivora	6	72
BPIFB2	felis_catus	domestic_cat	carnivora	6	72
BPIFB6	canis_lupus_familiaris	domestic_dog	carnivora	8	72
BPIFB4	canis_lupus_dingo	dingo	carnivora	8	72
BPIFB3	ailuropoda_melanoleuca	giant_panda	carnivora	8	72
BPIFB2	canis_lupus_dingo	dingo	carnivora	8	72
NULL	ursus_maritimus	polar_bear	carnivora	6	72
BPIFB6	ailuropoda_melanoleuca	giant_panda	carnivora	8	72
BPIFB1	ursus_maritimus	polar_bear	carnivora	6	72
BPIFB4	felis_catus	domestic_cat	carnivora	6	72
BPIFA1	lynx_canadensis	canadian_lynx	carnivora	8	72
