gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id	common_name
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	74.2931	ortholog_one2one	ENSDNOG00000043529	ENSDNOP00000031248	dasypus_novemcinctus	75.6544			0.0		0.0	107333378	nine_banded_armadillo
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	80.2057	ortholog_one2one	ENSETEG00000015843	ENSETEP00000012847	echinops_telfairi	83.4225			0.0		0.0	111972645	lesser_hedgehog_tenrec
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	87.4036	ortholog_one2one	ENSCAFG00000016020	ENSCAFP00000037954	canis_lupus_familiaris	53.2915			100.0	100.0	1.0	137810897	domestic_dog
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	93.8303	ortholog_one2one	ENSAMEG00000006601	ENSAMEP00000006962	ailuropoda_melanoleuca	97.3333			100.0		1.0	147804622	giant_panda
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	90.2314	ortholog_one2one	ENSUMAG00000007902	ENSUMAP00000011159	ursus_maritimus	50.2146			100.0		1.0	149253891	polar_bear
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.0874	ortholog_one2one	ENSSSCG00000007585	ENSSSCP00000035521	sus_scrofa	97.6			100.0	100.0	1.0	149564564	wild_boar
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	55.0129	ortholog_one2one	ENSCAPG00000002135	ENSCAPP00000001193	cavia_aperea	95.9641			100.0	0.0	1.0	149747605	brazilian_guinea_pig
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.0874	ortholog_one2one	ENSCCNG00000030119	ENSCCNP00000031638	castor_canadensis	97.6			0.0		0.0	149891118	american_beaver
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	88.1748	ortholog_one2one	ENSEASG00005014801	ENSEASP00005021665	equus_asinus_asinus	79.0323			0.0		0.0	150000842	donkey
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	62.982	ortholog_one2one	ENSSARG00000012197	ENSSARP00000011001	sorex_araneus	96.4567			0.0		0.0	150121333	european_shrew
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.0874	ortholog_one2one	ENSPLOG00000015512	ENSPLOP00000021163	panthera_leo	97.6			100.0	100.0	1.0	150190530	lion
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.0874	ortholog_one2one	ENSCLAG00000013196	ENSCLAP00000019259	chinchilla_lanigera	97.6			100.0		1.0	150316548	long_tailed_chinchilla
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.0874	ortholog_one2one	ENSRNOG00000034254	ENSRNOP00000072672	rattus_norvegicus	96.8254			100.0	100.0	1.0	150494249	norway_rat
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	94.3445	ortholog_one2one	ENSLAFG00000001268	ENSLAFP00000001069	loxodonta_africana	96.3255			100.0	0.0	1.0	150513548	african_savanna_elephant
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	92.545	ortholog_one2one	ENSPPRG00000004533	ENSPPRP00000010335	panthera_pardus	97.2973			100.0	100.0	1.0	150659471	leopard
ENSFCAG00000006788	ENSFCAP00000061043	felis_catus	62.982	ortholog_one2one	ENSOPRG00000009232	ENSOPRP00000008434	ochotona_princeps	96.4567			0.0		0.0	151031668	american_pika
