Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
LMO7	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
LIMCH1	sus_scrofa	wild_boar	artiodactyla	2	11
LMO7	camelus_dromedarius	arabian_camel	artiodactyla	2	11
LIMCH1	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
LIMCH1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	11
LMO7	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	11
NULL	bison_bison_bison	american_bison	artiodactyla	3	11
LMO7	sus_scrofa	wild_boar	artiodactyla	2	11
LIMCH1	bison_bison_bison	american_bison	artiodactyla	3	11
LMO7	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	11
LIMCH1	camelus_dromedarius	arabian_camel	artiodactyla	2	11
LMO7	lynx_canadensis	canadian_lynx	carnivora	2	22
LMO7	zalophus_californianus	cali_sea_lion	carnivora	2	22
NULL	ursus_maritimus	polar_bear	carnivora	4	22
LMO7	ailuropoda_melanoleuca	giant_panda	carnivora	3	22
LIMCH1	felis_catus	domestic_cat	carnivora	2	22
LMO7	vulpes_vulpes	red_fox	carnivora	2	22
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	3	22
LIMCH1	vulpes_vulpes	red_fox	carnivora	2	22
LIMCH1	canis_lupus_familiaris	domestic_dog	carnivora	2	22
LMO7	panthera_pardus	leopard	carnivora	2	22
LMO7	panthera_leo	lion	carnivora	1	22
LIMCH1	zalophus_californianus	cali_sea_lion	carnivora	2	22
LIMCH1	lynx_canadensis	canadian_lynx	carnivora	2	22
LIMCH1	panthera_pardus	leopard	carnivora	2	22
LIMCH1	canis_lupus_dingo	dingo	carnivora	2	22
LMO7	ursus_maritimus	polar_bear	carnivora	4	22
LMO7	felis_catus	domestic_cat	carnivora	2	22
LMO7	canis_lupus_dingo	dingo	carnivora	2	22
LMO7	canis_lupus_familiaris	domestic_dog	carnivora	2	22
LMO7	delphinapterus_leucas	beluga_whale	cetacea	2	2
LIMCH1	delphinapterus_leucas	beluga_whale	cetacea	2	2
LMO7	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
LIMCH1	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
LIMCH1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
LMO7	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
LIMCH1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	4
LMO7	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
LMO7	sorex_araneus	european_shrew	eulipotyphyla	2	4
LMO7	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
LIMCH1	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
NULL	ochotona_princeps	american_pika	lagomorpha	2	4
LMO7	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
LIMCH1	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
LMO7	equus_asinus_asinus	donkey	perissodactyla	2	4
