Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
KRT16	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	6
KRT14	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	2	6
KRT16	bison_bison_bison	american_bison	artiodactyla	2	6
KRT14	bison_bison_bison	american_bison	artiodactyla	2	6
KRT14	sus_scrofa	wild_boar	artiodactyla	1	6
KRT14	camelus_dromedarius	arabian_camel	artiodactyla	1	6
KRT16	canis_lupus_dingo	dingo	carnivora	2	15
KRT14	panthera_leo	lion	carnivora	2	15
KRT14	lynx_canadensis	canadian_lynx	carnivora	2	15
KRT14	canis_lupus_familiaris	domestic_dog	carnivora	1	15
KRT14	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
KRT16	lynx_canadensis	canadian_lynx	carnivora	2	15
KRT16	panthera_pardus	leopard	carnivora	2	15
KRT16	zalophus_californianus	cali_sea_lion	carnivora	2	15
KRT16	vulpes_vulpes	red_fox	carnivora	2	15
KRT16	panthera_leo	lion	carnivora	2	15
KRT14	canis_lupus_dingo	dingo	carnivora	2	15
KRT14	panthera_pardus	leopard	carnivora	2	15
KRT16	ailuropoda_melanoleuca	giant_panda	carnivora	2	15
KRT14	zalophus_californianus	cali_sea_lion	carnivora	2	15
KRT14	vulpes_vulpes	red_fox	carnivora	2	15
NULL	delphinapterus_leucas	beluga_whale	cetacea	1	1
KRT14	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
KRT16	pteropus_vampyrus	large_flying_fox	chiroptera	2	2
KRT14	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
KRT16	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
KRT16	sorex_araneus	european_shrew	eulipotyphyla	1	3
KRT14	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	3
KRT14	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
KRT16	procavia_capensis	cape_rock_hyrax	hyracoidea	2	2
KRT16	ochotona_princeps	american_pika	lagomorpha	2	3
KRT16	oryctolagus_cuniculus	rabbit	lagomorpha	1	3
KRT14	ochotona_princeps	american_pika	lagomorpha	2	3
KRT14	equus_asinus_asinus	donkey	perissodactyla	2	2
KRT16	equus_asinus_asinus	donkey	perissodactyla	2	2
KRT16	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
KRT14	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
KRT14	aotus_nancymaae	mas_night_monkey	primates	2	21
NULL	pan_troglodytes	chimpanzee	primates	3	21
KRT14	pan_troglodytes	chimpanzee	primates	3	21
KRT14	cercocebus_atys	sooty_mangabey	primates	1	21
KRT14	carlito_syrichta	philippine_tarsier	primates	2	21
KRT16	gorilla_gorilla	gorilla	primates	3	21
KRT14	papio_anubis	olive_baboon	primates	2	21
NULL	nomascus_leucogenys	gibbon	primates	3	21
KRT16	carlito_syrichta	philippine_tarsier	primates	2	21
NULL	gorilla_gorilla	gorilla	primates	3	21
KRT14	mandrillus_leucophaeus	drill	primates	2	21
KRT16	nomascus_leucogenys	gibbon	primates	3	21
KRT16	pan_troglodytes	chimpanzee	primates	3	21
KRT14	nomascus_leucogenys	gibbon	primates	3	21
KRT14	gorilla_gorilla	gorilla	primates	3	21
KRT16	macaca_fascicularis	crab_eating_macaque	primates	2	21
KRT14	macaca_fascicularis	crab_eating_macaque	primates	2	21
KRT16	mandrillus_leucophaeus	drill	primates	2	21
KRT16	papio_anubis	olive_baboon	primates	2	21
KRT16	aotus_nancymaae	mas_night_monkey	primates	2	21
KRT14	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	21
KRT14	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	4	20
Krt14	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	20
Krt16	mus_spicilegus	steppe_mouse	rodentia	3	20
Krt16	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	20
Krt14	mus_spicilegus	steppe_mouse	rodentia	3	20
Krt16	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
Krt14	mus_musculus	house_mouse	rodentia	2	20
Krt14	rattus_norvegicus	norway_rat	rodentia	3	20
NULL	mus_spicilegus	steppe_mouse	rodentia	3	20
Krt16	rattus_norvegicus	norway_rat	rodentia	3	20
KRT14	cavia_aperea	brazilian_guinea_pig	rodentia	1	20
Krt14	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	20
KRT16	octodon_degus	degu	rodentia	2	20
Ka11	rattus_norvegicus	norway_rat	rodentia	3	20
KRT16	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	20
KRT14	octodon_degus	degu	rodentia	2	20
Krt16	mus_musculus	house_mouse	rodentia	2	20
KRT16	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
KRT14	tupaia_belangeri	nothern_tree_shrew	scandentia	2	2
