Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ALDH1A1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
ALDH1A1	sus_scrofa	wild_boar	artiodactyla	1	6
NULL	camelus_dromedarius	arabian_camel	artiodactyla	2	6
ALDH1A1	bison_bison_bison	american_bison	artiodactyla	1	6
ALDH1A1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	6
ALDH1A1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
ALDH1A1	lynx_canadensis	canadian_lynx	carnivora	1	9
ALDH1A1	vulpes_vulpes	red_fox	carnivora	1	9
NULL	ursus_maritimus	polar_bear	carnivora	2	9
ALDH1A1	felis_catus	domestic_cat	carnivora	1	9
ALDH1A1	zalophus_californianus	cali_sea_lion	carnivora	1	9
ALDH1A1	panthera_pardus	leopard	carnivora	1	9
ALDH1A1	canis_lupus_familiaris	domestic_dog	carnivora	1	9
ALDH1A1	canis_lupus_dingo	dingo	carnivora	1	9
ALDH1A1	delphinapterus_leucas	beluga_whale	cetacea	1	1
ALDH1A1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
ALDH1A1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
ALDH1A1	sorex_araneus	european_shrew	eulipotyphyla	1	2
ALDH1A1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
ALDH1A1	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
ALDH1A1	ochotona_princeps	american_pika	lagomorpha	1	2
ALDH1A1	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
ALDH1A1	equus_asinus_asinus	donkey	perissodactyla	1	2
ALDH1A1	equus_caballus	domestic_horse	perissodactyla	1	2
ALDH1A1	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
ALDH1A1	mandrillus_leucophaeus	drill	primates	1	11
ALDH1A1	cercocebus_atys	sooty_mangabey	primates	1	11
ALDH1A1	papio_anubis	olive_baboon	primates	1	11
NULL	aotus_nancymaae	mas_night_monkey	primates	2	11
ALDH1A1	nomascus_leucogenys	gibbon	primates	1	11
ALDH1A1	pan_troglodytes	chimpanzee	primates	1	11
ALDH1A1	macaca_fascicularis	crab_eating_macaque	primates	1	11
ALDH1A1	carlito_syrichta	philippine_tarsier	primates	1	11
ALDH1A1	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	11
ALDH1A1	gorilla_gorilla	gorilla	primates	1	11
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	4	4
NULL	castor_canadensis	american_beaver	rodentia	9	30
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	30
Aldh1a7	mus_spicilegus	steppe_mouse	rodentia	2	30
NULL	octodon_degus	degu	rodentia	2	30
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	5	30
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	2	30
Aldh1a7	mus_musculus	house_mouse	rodentia	2	30
Aldh1a1	rattus_norvegicus	norway_rat	rodentia	2	30
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	30
Aldh1a7	rattus_norvegicus	norway_rat	rodentia	2	30
Aldh1a1	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	30
Aldh1a1	mus_musculus	house_mouse	rodentia	2	30
Aldh1a1	mus_spicilegus	steppe_mouse	rodentia	2	30
ALDH1A1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
