Species	Chromosome	Gene	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
echinops_telfairi	scaffold_318944	ACTC1	lesser_hedgehog_tenrec	afrosoricida	1	1
camelus_dromedarius	11	NULL	arabian_camel	artiodactyla	2	8
camelus_dromedarius	6	ACTC1	arabian_camel	artiodactyla	2	8
sus_scrofa	1	ACTC1	wild_boar	artiodactyla	2	8
moschus_moschiferus	PVHU020017367.1	ACTC1	siberian_musk_deer	artiodactyla	1	8
sus_scrofa	14	NULL	wild_boar	artiodactyla	2	8
bison_bison_bison	KN264805.1	NULL	american_bison	artiodactyla	2	8
bison_bison_bison	KN264912.1	ACTC1	american_bison	artiodactyla	2	8
cervus_hanglu_yarkandensis	12	ACTC1	central_asian_red_deer	artiodactyla	1	8
ursus_maritimus	AVOR01114177.1	NULL	polar_bear	carnivora	1	11
lynx_canadensis	B3	ACTC1	canadian_lynx	carnivora	1	11
ailuropoda_melanoleuca	GL192565.1	ACTC1	giant_panda	carnivora	1	11
vulpes_vulpes	NBDQ01000029.1	ACTC1	red_fox	carnivora	1	11
felis_catus	D2	ACTA1	domestic_cat	carnivora	2	11
panthera_pardus	KV860279.1	ACTC1	leopard	carnivora	1	11
canis_lupus_familiaris	30	ACTC1	domestic_dog	carnivora	1	11
panthera_leo	B4	ACTC1	lion	carnivora	1	11
felis_catus	B3	ACTC1	domestic_cat	carnivora	2	11
canis_lupus_dingo	QKWQ01001293.1	ACTC1	dingo	carnivora	1	11
zalophus_californianus	7	ACTC1	cali_sea_lion	carnivora	1	11
delphinapterus_leucas	ML702016.1	ACTC1	beluga_whale	cetacea	1	1
pteropus_vampyrus	GeneScaffold_2481	ACTC1	large_flying_fox	chiroptera	1	1
dasypus_novemcinctus	JH566301.1	ACTC1	nine_banded_armadillo	cingulata	1	1
sorex_araneus	GeneScaffold_3194	NULL	european_shrew	eulipotyphyla	2	3
erinaceus_europaeus	GeneScaffold_5726	ACTC1	western_european_hedgehog	eulipotyphyla	1	3
sorex_araneus	scaffold_256238	ACTC1	european_shrew	eulipotyphyla	2	3
procavia_capensis	scaffold_15802	ACTC1	cape_rock_hyrax	hyracoidea	1	1
oryctolagus_cuniculus	17	ACTC1	rabbit	lagomorpha	1	2
ochotona_princeps	GeneScaffold_3294	ACTC1	american_pika	lagomorpha	1	2
equus_caballus	1	ACTC1	domestic_horse	perissodactyla	1	2
equus_asinus_asinus	PSZQ01003353.1	ACTC1	donkey	perissodactyla	1	2
choloepus_hoffmanni	GeneScaffold_4215	NULL	Hoffmanns_two_fingered_sloth	pilosa	1	1
carlito_syrichta	KE944009.1	ACTC1	philippine_tarsier	primates	1	9
cercocebus_atys	KQ012270.1	ACTC1	sooty_mangabey	primates	1	9
nomascus_leucogenys	6	ACTC1	gibbon	primates	1	9
mandrillus_leucophaeus	KN976431.1	ACTC1	drill	primates	1	9
macaca_fascicularis	7	ACTC1	crab_eating_macaque	primates	1	9
aotus_nancymaae	KZ202280.1	ACTC1	mas_night_monkey	primates	1	9
papio_anubis	7	ACTC1	olive_baboon	primates	1	9
pan_troglodytes	15	ACTC1	chimpanzee	primates	1	9
gorilla_gorilla	15	ACTC1	gorilla	primates	1	9
loxodonta_africana	scaffold_64	ACTC1	african_savanna_elephant	proboscidea	1	1
nannospalax_galili	KL202157.1	Actc1	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
chinchilla_lanigera	JH721876.1	ACTC1	long_tailed_chinchilla	rodentia	1	9
mus_musculus	2	Actc1	house_mouse	rodentia	1	9
octodon_degus	JH651681.1	ACTC1	degu	rodentia	1	9
rattus_norvegicus	3	Actc1	norway_rat	rodentia	1	9
cavia_aperea	AVPZ01000012.1	ACTC1	brazilian_guinea_pig	rodentia	1	9
peromyscus_maniculatus_bairdii	4	Actc1	prairie_deer_mouse	rodentia	1	9
castor_canadensis	MTKA01000470.1	Actc1	american_beaver	rodentia	1	9
mus_spicilegus	QGOO01000211.1	Actc1	steppe_mouse	rodentia	1	9
tupaia_belangeri	GeneScaffold_2397	NULL	nothern_tree_shrew	scandentia	1	1
