Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
GTSF1L	sus_scrofa	wild_boar	artiodactyla	1	4
GTSF1L	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
GTSF1L	bison_bison_bison	american_bison	artiodactyla	1	4
GTSF1L	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
GTSF1L	panthera_pardus	leopard	carnivora	1	10
GTSF1L	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
GTSF1L	felis_catus	domestic_cat	carnivora	1	10
GTSF1L	canis_lupus_dingo	dingo	carnivora	1	10
GTSF1L	vulpes_vulpes	red_fox	carnivora	1	10
GTSF1L	lynx_canadensis	canadian_lynx	carnivora	1	10
GTSF1L	panthera_leo	lion	carnivora	1	10
GTSF1L	canis_lupus_familiaris	domestic_dog	carnivora	1	10
GTSF1L	zalophus_californianus	cali_sea_lion	carnivora	1	10
GTSF1L	ursus_maritimus	polar_bear	carnivora	1	10
GTSF1L	delphinapterus_leucas	beluga_whale	cetacea	1	1
GTSF1L	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
GTSF1L	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	1
GTSF1L	ochotona_princeps	american_pika	lagomorpha	1	1
GTSF1L	equus_caballus	domestic_horse	perissodactyla	1	1
GTSF1L	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
GTSF1L	carlito_syrichta	philippine_tarsier	primates	1	7
GTSF1L	mandrillus_leucophaeus	drill	primates	1	7
GTSF1L	aotus_nancymaae	mas_night_monkey	primates	1	7
GTSF1L	papio_anubis	olive_baboon	primates	1	7
GTSF1L	cercocebus_atys	sooty_mangabey	primates	1	7
NULL	nomascus_leucogenys	gibbon	primates	1	7
GTSF1L	macaca_fascicularis	crab_eating_macaque	primates	1	7
GTSF1L	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Gtsf1l	mus_spicilegus	steppe_mouse	rodentia	1	6
NULL	castor_canadensis	american_beaver	rodentia	1	6
GTSF1L	cavia_aperea	brazilian_guinea_pig	rodentia	1	6
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	6
Gtsf1l	mus_musculus	house_mouse	rodentia	1	6
