Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
OR4D1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
OR4D2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	2	2
NULL	sus_scrofa	wild_boar	artiodactyla	6	33
NULL	bison_bison_bison	american_bison	artiodactyla	8	33
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	8	33
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	8	33
OR4D1	camelus_dromedarius	arabian_camel	artiodactyla	3	33
OR4D1	sus_scrofa	wild_boar	artiodactyla	6	33
OR4D2	camelus_dromedarius	arabian_camel	artiodactyla	3	33
NULL	camelus_dromedarius	arabian_camel	artiodactyla	3	33
OR4D1	canis_lupus_dingo	dingo	carnivora	3	35
OR4D1	vulpes_vulpes	red_fox	carnivora	3	35
NULL	zalophus_californianus	cali_sea_lion	carnivora	5	35
NULL	ursus_maritimus	polar_bear	carnivora	5	35
NULL	felis_catus	domestic_cat	carnivora	3	35
NULL	lynx_canadensis	canadian_lynx	carnivora	3	35
NULL	ailuropoda_melanoleuca	giant_panda	carnivora	4	35
NULL	canis_lupus_dingo	dingo	carnivora	3	35
OR4D2	canis_lupus_familiaris	domestic_dog	carnivora	3	35
NULL	panthera_pardus	leopard	carnivora	3	35
NULL	panthera_leo	lion	carnivora	3	35
OR4D1	ursus_maritimus	polar_bear	carnivora	5	35
NULL	vulpes_vulpes	red_fox	carnivora	3	35
OR4D2C	canis_lupus_familiaris	domestic_dog	carnivora	3	35
OR4D1	panthera_pardus	leopard	carnivora	3	35
OR4D1	felis_catus	domestic_cat	carnivora	3	35
OR4D1	canis_lupus_familiaris	domestic_dog	carnivora	3	35
OR4D1	ailuropoda_melanoleuca	giant_panda	carnivora	4	35
OR4D1	panthera_leo	lion	carnivora	3	35
OR4D1	zalophus_californianus	cali_sea_lion	carnivora	5	35
OR4D1	lynx_canadensis	canadian_lynx	carnivora	3	35
OR4D2	delphinapterus_leucas	beluga_whale	cetacea	1	1
NULL	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
OR4D1	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
OR4D2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	2	4
OR4D2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
OR4D1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
NULL	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
NULL	ochotona_princeps	american_pika	lagomorpha	2	4
OR4D1	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
OR4D2	oryctolagus_cuniculus	rabbit	lagomorpha	2	4
NULL	equus_asinus_asinus	donkey	perissodactyla	3	5
OR4D2	equus_caballus	domestic_horse	perissodactyla	2	5
OR4D1	equus_caballus	domestic_horse	perissodactyla	2	5
OR4D1	equus_asinus_asinus	donkey	perissodactyla	3	5
OR4D1	nomascus_leucogenys	gibbon	primates	1	6
OR4D1	gorilla_gorilla	gorilla	primates	1	6
OR4D1	pan_troglodytes	chimpanzee	primates	1	6
OR4D1	mandrillus_leucophaeus	drill	primates	1	6
OR4D1	papio_anubis	olive_baboon	primates	1	6
OR4D1	macaca_fascicularis	crab_eating_macaque	primates	1	6
OR4D1	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	loxodonta_africana	african_savanna_elephant	proboscidea	3	3
NULL	castor_canadensis	american_beaver	rodentia	4	25
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	25
OR4D2	octodon_degus	degu	rodentia	2	25
OR4D1	cavia_aperea	brazilian_guinea_pig	rodentia	1	25
Olfr463	mus_musculus	house_mouse	rodentia	3	25
Olfr462	mus_spicilegus	steppe_mouse	rodentia	3	25
Olfr462	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	25
Olfr464	mus_spicilegus	steppe_mouse	rodentia	3	25
Olfr463	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	25
Olr1521	rattus_norvegicus	norway_rat	rodentia	2	25
OR4D2	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	25
Olfr463	mus_spicilegus	steppe_mouse	rodentia	3	25
Olfr464	mus_musculus	house_mouse	rodentia	3	25
Olfr462	mus_musculus	house_mouse	rodentia	3	25
Olr1523	rattus_norvegicus	norway_rat	rodentia	2	25
Olfr464	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	25
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	3	25
OR4D1	octodon_degus	degu	rodentia	2	25
NULL	tupaia_belangeri	nothern_tree_shrew	scandentia	3	3
OR4D1	tupaia_belangeri	nothern_tree_shrew	scandentia	3	3
