Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
STYX	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	moschus_moschiferus	siberian_musk_deer	artiodactyla	2	6
STYX	sus_scrofa	wild_boar	artiodactyla	1	6
STYX	bison_bison_bison	american_bison	artiodactyla	1	6
STYX	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	6
STYX	camelus_dromedarius	arabian_camel	artiodactyla	1	6
STYX	lynx_canadensis	canadian_lynx	carnivora	1	10
STYX	canis_lupus_dingo	dingo	carnivora	1	10
NULL	zalophus_californianus	cali_sea_lion	carnivora	2	10
STYX	felis_catus	domestic_cat	carnivora	1	10
STYX	panthera_leo	lion	carnivora	1	10
STYX	vulpes_vulpes	red_fox	carnivora	1	10
STYX	ursus_maritimus	polar_bear	carnivora	1	10
STYX	panthera_pardus	leopard	carnivora	1	10
STYX	canis_lupus_familiaris	domestic_dog	carnivora	1	10
STYX	delphinapterus_leucas	beluga_whale	cetacea	1	1
STYX	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
STYX	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
STYX	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
STYX	sorex_araneus	european_shrew	eulipotyphyla	1	2
STYX	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
STYX	ochotona_princeps	american_pika	lagomorpha	1	2
STYX	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	equus_asinus_asinus	donkey	perissodactyla	1	2
STYX	equus_caballus	domestic_horse	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	2	2
STYX	gorilla_gorilla	gorilla	primates	1	10
STYX	macaca_fascicularis	crab_eating_macaque	primates	1	10
STYX	papio_anubis	olive_baboon	primates	1	10
STYX	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
STYX	nomascus_leucogenys	gibbon	primates	1	10
STYX	mandrillus_leucophaeus	drill	primates	1	10
STYX	cercocebus_atys	sooty_mangabey	primates	1	10
STYX	carlito_syrichta	philippine_tarsier	primates	1	10
STYX	aotus_nancymaae	mas_night_monkey	primates	1	10
STYX	pan_troglodytes	chimpanzee	primates	1	10
STYX	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	15
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	15
STYX	cavia_aperea	brazilian_guinea_pig	rodentia	1	15
NULL	castor_canadensis	american_beaver	rodentia	1	15
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	15
NULL	octodon_degus	degu	rodentia	5	15
Styx	mus_musculus	house_mouse	rodentia	2	15
Gm14698	mus_musculus	house_mouse	rodentia	2	15
NULL	mus_spicilegus	steppe_mouse	rodentia	1	15
Styx	rattus_norvegicus	norway_rat	rodentia	1	15
STYX	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
