Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
TIPARP	sus_scrofa	wild_boar	artiodactyla	1	4
TIPARP	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	4
TIPARP	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	4
TIPARP	camelus_dromedarius	arabian_camel	artiodactyla	1	4
TIPARP	ursus_maritimus	polar_bear	carnivora	1	10
TIPARP	panthera_leo	lion	carnivora	1	10
TIPARP	canis_lupus_dingo	dingo	carnivora	1	10
TIPARP	panthera_pardus	leopard	carnivora	1	10
TIPARP	zalophus_californianus	cali_sea_lion	carnivora	1	10
TIPARP	felis_catus	domestic_cat	carnivora	1	10
TIPARP	vulpes_vulpes	red_fox	carnivora	1	10
TIPARP	lynx_canadensis	canadian_lynx	carnivora	1	10
TIPARP	canis_lupus_familiaris	domestic_dog	carnivora	1	10
TIPARP	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
TIPARP	delphinapterus_leucas	beluga_whale	cetacea	1	1
TIPARP	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
TIPARP	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
TIPARP	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
TIPARP	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
TIPARP	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
NULL	ochotona_princeps	american_pika	lagomorpha	1	2
TIPARP	equus_caballus	domestic_horse	perissodactyla	1	2
TIPARP	equus_asinus_asinus	donkey	perissodactyla	1	2
TIPARP	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	1	1
TIPARP	nomascus_leucogenys	gibbon	primates	1	10
TIPARP	papio_anubis	olive_baboon	primates	1	10
TIPARP	macaca_fascicularis	crab_eating_macaque	primates	1	10
TIPARP	mandrillus_leucophaeus	drill	primates	1	10
TIPARP	cercocebus_atys	sooty_mangabey	primates	1	10
TIPARP	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	10
TIPARP	pan_troglodytes	chimpanzee	primates	1	10
TIPARP	gorilla_gorilla	gorilla	primates	1	10
TIPARP	carlito_syrichta	philippine_tarsier	primates	1	10
TIPARP	aotus_nancymaae	mas_night_monkey	primates	1	10
TIPARP	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Tiparp	castor_canadensis	american_beaver	rodentia	1	9
Tiparp	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	9
TIPARP	octodon_degus	degu	rodentia	1	9
Tiparp	mus_spicilegus	steppe_mouse	rodentia	1	9
Tiparp	rattus_norvegicus	norway_rat	rodentia	1	9
TIPARP	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	9
TIPARP	cavia_aperea	brazilian_guinea_pig	rodentia	1	9
Tiparp	mus_musculus	house_mouse	rodentia	1	9
Tiparp	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	1	9
TIPARP	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
