SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	pan_troglodytes	ENSPTRP00000010839	14	42452423	42485753	1	ENSPTRG00000006389	ACTR10
SEQ	chinchilla_lanigera	ENSCLAP00000005577	JH721926.1	11948619	11970437	1	ENSCLAG00000003957	ACTR10
SEQ	oryctolagus_cuniculus	ENSOCUP00000002910	17	76553568	76585545	1	ENSOCUG00000003358	ACTR10
SEQ	octodon_degus	ENSODEP00000019794	JH651522.1	26360769	26390292	1	ENSODEG00000014617	NULL
SEQ	echinops_telfairi	ENSETEP00000011308	GeneScaffold_3512	362	22796	1	ENSETEG00000013933	ACTR10
SEQ	zalophus_californianus	ENSZCAP00015028014	X	55499412	55500990	1	ENSZCAG00015017728	NULL
SEQ	camelus_dromedarius	ENSCDRP00005005334	6	59091792	59112986	1	ENSCDRG00005003798	ACTR10
SEQ	papio_anubis	ENSPANP00000016992	7	115183468	115218746	1	ENSPANG00000013445	ACTR10
SEQ	vulpes_vulpes	ENSVVUP00000041523	NBDQ01000034.1	5260532	5291732	-1	ENSVVUG00000029550	ACTR10
SEQ	sus_scrofa	ENSSSCP00000023552	1	187307660	187336523	1	ENSSSCG00000022299	ACTR10
SEQ	zalophus_californianus	ENSZCAP00015011416	7	41191050	41218114	-1	ENSZCAG00015007397	NULL
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000010545	12	64108875	64135387	1	ENSCHYG00000006808	ACTR10
SEQ	loxodonta_africana	ENSLAFP00000007260	scaffold_9	33813292	33839008	1	ENSLAFG00000008644	ACTR10
SEQ	delphinapterus_leucas	ENSDLEP00000016191	ML702122.1	97186922	97188768	-1	ENSDLEG00000011882	NULL
SEQ	mus_spicilegus	ENSMSIP00000016005	QGOO01036733.1	25065	48431	1	ENSMSIG00000013779	Actr10
SEQ	delphinapterus_leucas	ENSDLEP00000009112	ML702054.1	13372139	13396276	-1	ENSDLEG00000006658	ACTR10
SEQ	panthera_pardus	ENSPPRP00000007809	KV860293.1	13512078	13539848	-1	ENSPPRG00000002823	ACTR10
SEQ	mus_musculus	ENSMUSP00000021479	12	70937857	70964718	1	ENSMUSG00000021076	Actr10
SEQ	dasypus_novemcinctus	ENSDNOP00000029245	JH564621.1	16672	62138	1	ENSDNOG00000044797	ACTR10
SEQ	nomascus_leucogenys	ENSNLEP00000015875	1a	90300008	90337950	1	ENSNLEG00000013052	ACTR10
SEQ	gorilla_gorilla	ENSGGOP00000006722	14	41453947	41487380	1	ENSGGOG00000006866	ACTR10
SEQ	ochotona_princeps	ENSOPRP00000015264	GeneScaffold_2018	50959	75918	1	ENSOPRG00000016707	ACTR10
SEQ	felis_catus	ENSFCAP00000041989	B3	107411145	107438515	1	ENSFCAG00000045749	ACTR10
SEQ	lynx_canadensis	ENSLCNP00005016181	B3	105092428	105119359	1	ENSLCNG00005010674	ACTR10
SEQ	cercocebus_atys	ENSCATP00000014311	KQ012950.1	8549557	8584763	1	ENSCATG00000031164	ACTR10
SEQ	aotus_nancymaae	ENSANAP00000038233	KZ196050.1	7243524	7275471	1	ENSANAG00000036574	ACTR10
SEQ	tupaia_belangeri	ENSTBEP00000003065	GeneScaffold_2273	669	26168	1	ENSTBEG00000003533	NULL
SEQ	pteropus_vampyrus	ENSPVAP00000003652	GeneScaffold_1488	33049	54366	1	ENSPVAG00000003861	ACTR10
SEQ	canis_lupus_dingo	ENSCAFP00020010996	QKWQ01001014.1	40543567	40575094	-1	ENSCAFG00020008899	ACTR10
SEQ	carlito_syrichta	ENSTSYP00000002937	KE938728.1	147173	177554	1	ENSTSYG00000003216	ACTR10
SEQ	ursus_maritimus	ENSUMAP00000022982	KK498517.1	40885810	40906713	1	ENSUMAG00000016666	ACTR10
SEQ	equus_asinus_asinus	ENSEASP00005023920	PSZQ01007138.1	5083847	5104653	-1	ENSEASG00005016239	ACTR10
