Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
ISCA1	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
NULL	sus_scrofa	wild_boar	artiodactyla	2	10
NULL	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	10
ISCA1	camelus_dromedarius	arabian_camel	artiodactyla	1	10
NULL	bison_bison_bison	american_bison	artiodactyla	3	10
ISCA1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	10
ISCA1	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	10
NULL	canis_lupus_familiaris	domestic_dog	carnivora	1	9
NULL	vulpes_vulpes	red_fox	carnivora	1	9
NULL	lynx_canadensis	canadian_lynx	carnivora	1	9
NULL	canis_lupus_dingo	dingo	carnivora	2	9
ISCA1	zalophus_californianus	cali_sea_lion	carnivora	1	9
ISCA1	ailuropoda_melanoleuca	giant_panda	carnivora	1	9
ISCA1	felis_catus	domestic_cat	carnivora	1	9
ISCA1	panthera_pardus	leopard	carnivora	1	9
ISCA1	delphinapterus_leucas	beluga_whale	cetacea	1	1
ISCA1	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
NULL	dasypus_novemcinctus	nine_banded_armadillo	cingulata	2	2
ISCA1	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
ISCA1	sorex_araneus	european_shrew	eulipotyphyla	1	2
ISCA1	ochotona_princeps	american_pika	lagomorpha	1	1
NULL	equus_caballus	domestic_horse	perissodactyla	1	2
ISCA1	equus_asinus_asinus	donkey	perissodactyla	1	2
NULL	choloepus_hoffmanni	Hoffmanns_two_fingered_sloth	pilosa	3	3
NULL	mandrillus_leucophaeus	drill	primates	2	27
ISCA1	nomascus_leucogenys	gibbon	primates	4	27
NULL	aotus_nancymaae	mas_night_monkey	primates	2	27
NULL	carlito_syrichta	philippine_tarsier	primates	2	27
NULL	callithrix_jacchus	white_tufted_ear_marmoset	primates	3	27
NULL	pan_troglodytes	chimpanzee	primates	4	27
NULL	nomascus_leucogenys	gibbon	primates	4	27
NULL	papio_anubis	olive_baboon	primates	4	27
ISCA1	mandrillus_leucophaeus	drill	primates	2	27
ISCA1	papio_anubis	olive_baboon	primates	4	27
NULL	cercocebus_atys	sooty_mangabey	primates	2	27
ISCA1	gorilla_gorilla	gorilla	primates	2	27
NULL	gorilla_gorilla	gorilla	primates	2	27
ISCA1	cercocebus_atys	sooty_mangabey	primates	2	27
ISCA1	carlito_syrichta	philippine_tarsier	primates	2	27
ISCA1	macaca_fascicularis	crab_eating_macaque	primates	2	27
NULL	macaca_fascicularis	crab_eating_macaque	primates	2	27
ISCA1	aotus_nancymaae	mas_night_monkey	primates	2	27
ISCA1	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
Isca1	rattus_norvegicus	norway_rat	rodentia	1	22
NULL	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	4	22
AK157302	mus_spicilegus	steppe_mouse	rodentia	2	22
NULL	chinchilla_lanigera	long_tailed_chinchilla	rodentia	2	22
Isca1	mus_spicilegus	steppe_mouse	rodentia	2	22
NULL	octodon_degus	degu	rodentia	5	22
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	3	22
AK157302	mus_musculus	house_mouse	rodentia	2	22
Isca1	mus_musculus	house_mouse	rodentia	2	22
NULL	castor_canadensis	american_beaver	rodentia	1	22
NULL	cavia_aperea	brazilian_guinea_pig	rodentia	2	22
ISCA1	tupaia_belangeri	nothern_tree_shrew	scandentia	1	1
