Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
NULL	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
SLC28A2	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
SLC28A3	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	3	3
SLC28A3	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
SLC28A1	sus_scrofa	wild_boar	artiodactyla	3	15
SLC28A3	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	15
SLC28A1	camelus_dromedarius	arabian_camel	artiodactyla	3	15
SLC28A1	bison_bison_bison	american_bison	artiodactyla	3	15
SLC28A1	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
SLC28A2	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	15
SLC28A2	camelus_dromedarius	arabian_camel	artiodactyla	3	15
SLC28A3	camelus_dromedarius	arabian_camel	artiodactyla	3	15
SLC28A2	moschus_moschiferus	siberian_musk_deer	artiodactyla	3	15
SLC28A2	bison_bison_bison	american_bison	artiodactyla	3	15
SLC28A3	sus_scrofa	wild_boar	artiodactyla	3	15
SLC28A3	bison_bison_bison	american_bison	artiodactyla	3	15
SLC28A2	sus_scrofa	wild_boar	artiodactyla	3	15
SLC28A1	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	3	15
SLC28A3	lynx_canadensis	canadian_lynx	carnivora	2	19
SLC28A1	ursus_maritimus	polar_bear	carnivora	2	19
SLC28A3	panthera_leo	lion	carnivora	2	19
SLC28A3	felis_catus	domestic_cat	carnivora	2	19
SLC28A1	vulpes_vulpes	red_fox	carnivora	2	19
SLC28A3	ursus_maritimus	polar_bear	carnivora	2	19
SLC28A3	panthera_pardus	leopard	carnivora	2	19
SLC28A1	canis_lupus_dingo	dingo	carnivora	2	19
NULL	canis_lupus_dingo	dingo	carnivora	2	19
SLC28A3	ailuropoda_melanoleuca	giant_panda	carnivora	2	19
SLC28A1	ailuropoda_melanoleuca	giant_panda	carnivora	2	19
SLC28A1	lynx_canadensis	canadian_lynx	carnivora	2	19
SLC28A3	vulpes_vulpes	red_fox	carnivora	2	19
SLC28A1	panthera_leo	lion	carnivora	2	19
SLC28A1	zalophus_californianus	cali_sea_lion	carnivora	2	19
SLC28A1	panthera_pardus	leopard	carnivora	2	19
SLC28A3	canis_lupus_familiaris	domestic_dog	carnivora	1	19
SLC28A1	felis_catus	domestic_cat	carnivora	2	19
SLC28A3	zalophus_californianus	cali_sea_lion	carnivora	2	19
SLC28A3	delphinapterus_leucas	beluga_whale	cetacea	2	2
SLC28A2	delphinapterus_leucas	beluga_whale	cetacea	2	2
SLC28A2	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
SLC28A3	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
SLC28A1	pteropus_vampyrus	large_flying_fox	chiroptera	3	3
SLC28A2	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
SLC28A1	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
SLC28A3	dasypus_novemcinctus	nine_banded_armadillo	cingulata	3	3
SLC28A3	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
SLC28A2	sorex_araneus	european_shrew	eulipotyphyla	2	4
SLC28A3	sorex_araneus	european_shrew	eulipotyphyla	2	4
SLC28A2	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	2	4
SLC28A3	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
SLC28A1	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
SLC28A2	procavia_capensis	cape_rock_hyrax	hyracoidea	3	3
SLC28A3	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
SLC28A1	oryctolagus_cuniculus	rabbit	lagomorpha	3	6
NULL	ochotona_princeps	american_pika	lagomorpha	3	6
