SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	ornithorhynchus_anatinus	ENSOANP00000034429	1	144671066	144707288	1	ENSOANG00000044256	ACTL6A
SEQ	scleropages_formosus	ENSSFOP00015027857	2	11344824	11355511	-1	ENSSFOG00015024452	actl6a
SEQ	ciona_savignyi	ENSCSAVP00000019777	reftig_19	5096439	5098125	1	ENSCSAVG00000011603	NULL
SEQ	oryctolagus_cuniculus	ENSOCUP00000015364	14	75015585	75040892	1	ENSOCUG00000017883	ACTL6A
SEQ	felis_catus	ENSFCAP00000011471	C2	89588856	89618711	-1	ENSFCAG00000012364	ACTL6A
SEQ	pongo_abelii	ENSPPYP00000016016	3	183215147	183245133	1	ENSPPYG00000014320	ACTL6A
SEQ	gopherus_evgoodei	ENSGEVP00005011231	9	11707534	11723755	-1	ENSGEVG00005007939	ACTL6A
SEQ	neogobius_melanostomus	ENSNMLP00000002357	VHKM01000511.1	848186	851701	-1	ENSNMLG00000001695	actl6a
SEQ	sarcophilus_harrisii	ENSSHAP00000020325	3	37174349	37205115	1	ENSSHAG00000017237	ACTL6A
SEQ	loxodonta_africana	ENSLAFP00000011318	scaffold_25	214417	245595	1	ENSLAFG00000013530	ACTL6A
SEQ	melopsittacus_undulatus	ENSMUNP00000010134	JH556579.1	5631201	5639872	1	ENSMUNG00000008012	ACTL6A
SEQ	macaca_nemestrina	ENSMNEP00000015156	KQ005254.1	933731	958658	-1	ENSMNEG00000031576	ACTL6A
SEQ	dipodomys_ordii	ENSDORP00000007168	KN672521.1	746875	773194	1	ENSDORG00000007648	Actl6a
SEQ	bos_taurus	ENSBTAP00000037066	1	87536382	87567798	-1	ENSBTAG00000002460	ACTL6A
SEQ	mastacembelus_armatus	ENSMAMP00000009044	OOHQ01000036.1	13338822	13346158	1	ENSMAMG00000006081	actl6a
SEQ	meriones_unguiculatus	ENSMUGP00000027556	NHTI01000774.1	503278	520240	1	ENSMUGG00000022903	Actl6a
SEQ	malurus_cyaneus_samueli	ENSMCSP00000003502	9	18526657	18534644	-1	ENSMCSG00000002504	ACTL6A
SEQ	lates_calcarifer	ENSLCAP00010049491	CYIF01000044.1	4340255	4348588	1	ENSLCAG00010022856	actl6a
SEQ	suricata_suricatta	ENSSSUP00005009620	5	86380291	86408639	-1	ENSSSUG00005006188	ACTL6A
SEQ	hucho_hucho	ENSHHUP00000079198	QNTS01000702.1	291132	302803	-1	ENSHHUG00000046135	actl6a
SEQ	octodon_degus	ENSODEP00000003664	JH651813.1	1639303	1652957	-1	ENSODEG00000002804	NULL
SEQ	nothoprocta_perdicaria	ENSNPEP00000003651	PTEW01000005.1	6667407	6674899	1	ENSNPEG00000002799	ACTL6A
SEQ	nannospalax_galili	ENSNGAP00000024880	KL201730.1	1206585	1225557	-1	ENSNGAG00000023000	Actl6a
SEQ	calidris_pugnax	ENSCPUP00000016177	KQ482134.1	5310653	5320388	1	ENSCPUG00000011215	ACTL6A
SEQ	salmo_salar	ENSSSAP00000109638	ssa16	52504494	52520904	1	ENSSSAG00000077723	actl6a
SEQ	dicentrarchus_labrax	ENSDLAP00005062628	HG916844.1	13309442	13317338	1	ENSDLAG00005026080	actl6a
SEQ	scophthalmus_maximus	ENSSMAP00000004863	12	11679488	11687354	1	ENSSMAG00000002988	actl6a
SEQ	cyprinus_carpio_germanmirror	ENSCCRP00010089551	SAUK01000011.1	10160761	10170928	-1	ENSCCRG00010038940	actl6a
SEQ	balaenoptera_musculus	ENSBMSP00010005095	4	57591952	57618831	1	ENSBMSG00010003758	NULL
SEQ	cyprinus_carpio_hebaored	ENSCCRP00020077008	SAUJ01029061.1	328915	335389	-1	ENSCCRG00020035724	actl6a
SEQ	astyanax_mexicanus_pachon	ENSAMXP00005028053	KB871932.1	301398	306226	1	ENSAMXG00005013881	actl6a
SEQ	phocoena_sinus	ENSPSNP00000000547	4	57034114	57061729	1	ENSPSNG00000000482	ACTL6A
SEQ	geospiza_fortis	ENSGFOP00000010971	JH739899.1	5367575	5375695	-1	ENSGFOG00000007543	ACTL6A
SEQ	monodelphis_domestica	ENSMODP00000026629	7	202662232	202684303	1	ENSMODG00000021302	ACTL6A
SEQ	sinocyclocheilus_rhinocerous	ENSSRHP00000047497	LAVF01S043125.1	103766	119383	-1	ENSSRHG00000023740	actl6a
SEQ	calidris_pygmaea	ENSCPGP00000019037	QJSC01016343.1	637891	647261	1	ENSCPGG00000013318	ACTL6A
SEQ	mus_musculus	ENSMUSP00000029214	3	32708507	32726973	1	ENSMUSG00000027671	Actl6a
SEQ	equus_asinus_asinus	ENSEASP00005024780	PSZQ01001687.1	4038001	4069196	-1	ENSEASG00005016862	ACTL6A
SEQ	cavia_aperea	ENSCAPP00000013540	AVPZ01000422.1	10500514	10513589	1	ENSCAPG00000014138	ACTL6A
SEQ	pan_troglodytes	ENSPTRP00000072699	3	183480097	183502475	1	ENSPTRG00000023973	ACTL6A
SEQ	oryzias_latipes_hni	ENSORLP00020034764	4	9108201	9120310	-1	ENSORLG00020021424	actl6a
SEQ	bos_indicus_hybrid	ENSBIXP00005013506	1	87230019	87261506	-1	ENSBIXG00005017648	ACTL6A
SEQ	coturnix_japonica	ENSCJPP00005017466	9	15349656	15357362	-1	ENSCJPG00005014250	ACTL6A
SEQ	chinchilla_lanigera	ENSCLAP00000017858	JH721880.1	8744597	8764993	1	ENSCLAG00000012251	ACTL6A
SEQ	erythrura_gouldiae	ENSEGOP00005006186	QUSF01000026.1	4219032	4228102	1	ENSEGOG00005004805	ACTL6A
SEQ	homo_sapiens	ENSP00000397552	3	179562926	179588407	1	ENSG00000136518	ACTL6A
SEQ	ursus_americanus	ENSUAMP00000009047	LZNR01001021.1	27826	55854	-1	ENSUAMG00000007566	ACTL6A
SEQ	oncorhynchus_mykiss	ENSOMYP00000008445	5	48585138	48599094	-1	ENSOMYG00000004281	actl6a
SEQ	notamacropus_eugenii	ENSMEUP00000011518	GeneScaffold_4623	14851	43824	1	ENSMEUG00000012631	ACTL6A
SEQ	bos_grunniens	ENSBGRP00000005033	1	95293628	95327141	-1	ENSBGRG00000003086	ACTL6A
SEQ	capra_hircus_blackbengal	ENSCHIP00010000018	1	95134513	95150146	-1	ENSCHIG00010000040	NULL
SEQ	eptatretus_burgeri	ENSEBUP00000013477	FYBX02010024.1	1628765	1690201	1	ENSEBUG00000008482	NULL
SEQ	vulpes_vulpes	ENSVVUP00000006176	NBDQ01000064.1	543802	609223	1	ENSVVUG00000004812	ACTL6A
SEQ	strigops_habroptila	ENSSHBP00005012020	9	33063230	33073155	1	ENSSHBG00005010515	ACTL6A
SEQ	ictalurus_punctatus	ENSIPUP00000013405	11	9888747	9907422	-1	ENSIPUG00000009096	actl6a
SEQ	ochotona_princeps	ENSOPRP00000007148	GeneScaffold_2273	6910	53907	1	ENSOPRG00000007803	ACTL6A
SEQ	anolis_carolinensis	ENSACAP00000004517	3	2102704	2123054	-1	ENSACAG00000004548	ACTL6A
SEQ	phascolarctos_cinereus	ENSPCIP00000008155	MSTS01000010.1	13382430	13410911	1	ENSPCIG00000006777	ACTL6A
SEQ	lepisosteus_oculatus	ENSLOCP00000001436	LG14	1590505	1602053	1	ENSLOCG00000001256	actl6a
SEQ	bubo_bubo	ENSBOBP00000009505	ML984605.1	1999051	2007571	-1	ENSBOBG00000005967	ACTL6A
SEQ	cyclopterus_lumpus	ENSCLMP00005049110	4	17948078	17957958	1	ENSCLMG00005022397	actl6a
SEQ	salvator_merianae	ENSSMRP00000030797	QVOM01000022.1	6144418	6163582	-1	ENSSMRG00000023614	ACTL6A
SEQ	balaenoptera_musculus	ENSBMSP00010011598	11	13105677	13107016	1	ENSBMSG00010008501	NULL
